sf2PPeXQrUA_000000_000010#enc2zh#0 一个男孩踢了一个领域的足球，一个女孩在它之后奔跑
LgZt6EpY4G4_000015_000025#enc2zh#6 一个人围绕帆布鞋的宽鞋带
LgZt6EpY4G4_000015_000025#enc2zh#7 一个女人展示如何用外语领带鞋带
LgZt6EpY4G4_000015_000025#enc2zh#8 一个女人演示如何正确地绑架鞋子
LgZt6EpY4G4_000015_000025#enc2zh#9 一个女人展示了一个年轻人可以学会如何学习领带鞋子
jnnpnL0pxuY_000000_000010#enc2zh#0 一个人坐在镜头前，正在吹一个大的泡泡糖
jnnpnL0pxuY_000000_000010#enc2zh#1 一个年轻人咀嚼泡泡糖，因为他开始充气它使它变得更大
jnnpnL0pxuY_000000_000010#enc2zh#2 他们年轻人开始口香糖然后爆发他所做的泡沫
jnnpnL0pxuY_000000_000010#enc2zh#3 一个年轻人正在咀嚼牙龈并吹一个大泡沫
jnnpnL0pxuY_000000_000010#enc2zh#4 有人正在咀嚼泡泡糖并吹一个大泡沫
jnnpnL0pxuY_000000_000010#enc2zh#5 一个十几岁的男孩用他的口香糖吹巨大的泡沫
jnnpnL0pxuY_000000_000010#enc2zh#6 一个年轻的男孩是口香糖，然后用它吹一个大泡
jnnpnL0pxuY_000000_000010#enc2zh#7 一个年轻人嚼口香糖然后吹起泡沫即时爆发
jnnpnL0pxuY_000000_000010#enc2zh#8 一个年轻的青少年男孩用粉红色的泡泡糖吹一个大泡沫
jnnpnL0pxuY_000000_000010#enc2zh#9 戴着帽子的人嚼口香糖，然后吹起泡沫在脸上爆炸，他们用舌头来收集口香糖
qQWOAoWM60M_000163_000173#enc2zh#0 一个女人正在编织一块头发，然后谈谈这个过程
qQWOAoWM60M_000163_000173#enc2zh#1 当她辫子的头发时，一个女孩坐在身边并将她的头坐在一边
qQWOAoWM60M_000163_000173#enc2zh#2 一个女人站在卫生间辫子她自己的头发
qQWOAoWM60M_000163_000173#enc2zh#3 一个女人旋转她的头发，她在谈论它
qQWOAoWM60M_000163_000173#enc2zh#4 在一个女人辫子辫子，然后她说话
qQWOAoWM60M_000163_000173#enc2zh#5 一个女人正在给出如何编织发辫的录制教程
qQWOAoWM60M_000163_000173#enc2zh#6 一个女孩正在展示她在她的头发上做小辫子
qQWOAoWM60M_000163_000173#enc2zh#7 一个女人辫子她的头发一小部分，并描述了她的过程
qQWOAoWM60M_000163_000173#enc2zh#8 一个女人辫子她自己的头发然后检查她的工作然后说话
qQWOAoWM60M_000163_000173#enc2zh#9 一个女孩展示了如何在她头部辫子辫子
0-3yl2_Myso_000003_000013#enc2zh#0 三名男子在乐队立场前面的一个木地板上拍跳舞
0-3yl2_Myso_000003_000013#enc2zh#1 三名男子在一群人面前拍打跳舞
0-3yl2_Myso_000003_000013#enc2zh#2 三名男子在舞池上跳舞与其他人看着他们
0-3yl2_Myso_000003_000013#enc2zh#3 三个家伙在别人看着他们时拍打音乐
0-3yl2_Myso_000003_000013#enc2zh#4 三名男子在舞台上进行舞蹈常规到欢呼的人群
0-3yl2_Myso_000003_000013#enc2zh#5 三个白人在观众面前轻拍舞蹈和拍手和捕捉手指
0-3yl2_Myso_000003_000013#enc2zh#6 三名男子执行轻拍舞蹈常规，以摇摆音乐作为观众欢呼
0-3yl2_Myso_000003_000013#enc2zh#7 穿着燕尾服的三名男子都是点击跳舞并拍手
0-3yl2_Myso_000003_000013#enc2zh#8 西装中的三个人正在在人群面前进行轻拍跳舞常规
0-3yl2_Myso_000003_000013#enc2zh#9 三名男子在人们看着时，齐友在音乐中齐发
Rz5umsLIZTA_000056_000066#enc2zh#0 一个男人站在一张桌子附近，这是一个生日蛋糕，有许多点燃的蜡烛，他吹着它们
Rz5umsLIZTA_000056_000066#enc2zh#1 一个男人保持生日蛋糕更多的小蜡烛，一个女孩来自措施看它
Rz5umsLIZTA_000056_000066#enc2zh#2 那位女士惊喜这个家伙，让他吹他的蜡烛
Rz5umsLIZTA_000056_000066#enc2zh#3 一个女人站在楼梯上，因为一个人在蛋糕后面站在蛋糕后面，然后吹灭蜡烛
Rz5umsLIZTA_000056_000066#enc2zh#4 一个男人挂在一个小妖边，因为赫里吹他的生日蜡烛
Rz5umsLIZTA_000056_000066#enc2zh#5 吹灭蜡烛的一个年轻人在他的生日蛋糕
Rz5umsLIZTA_000056_000066#enc2zh#6 一个男人正在观看一个生日蛋糕，当他靠在一个栏杆时被照亮
Rz5umsLIZTA_000056_000066#enc2zh#7 一个男孩站在桌上的桌上在蛋糕上
Rz5umsLIZTA_000056_000066#enc2zh#8 一个女孩试图说服她的男朋友炸掉他的生日蛋糕蜡烛
Rz5umsLIZTA_000056_000066#enc2zh#9 两个生日庆祝活动正在进行中，那个男人会炸掉蜡烛
Y9WjlhlcmJs_000003_000013#enc2zh#0 健身房里的一个男人接近一个重量的替补席，准备做仰卧起坐
Y9WjlhlcmJs_000003_000013#enc2zh#1 一个房间里面的一个人自己坐下来做腿部练习
Y9WjlhlcmJs_000003_000013#enc2zh#2 一个人正在攀登，坐在某种类型的运动装置之上
Y9WjlhlcmJs_000003_000013#enc2zh#3 一个男人坐在健身房设备上并在向后伸展之前挂着他的腿
Y9WjlhlcmJs_000003_000013#enc2zh#4 一个男人正在使用一块锻炼设备来锻炼身体
Y9WjlhlcmJs_000003_000013#enc2zh#5 一个男人通过将他的腿放在滚筒之间进行支撑来安装仰卧垫
Y9WjlhlcmJs_000003_000013#enc2zh#6 一个男人上升到一块健身房，开始他的锻炼程序
Y9WjlhlcmJs_000003_000013#enc2zh#7 一个男人在健身房里坐在机器上，把脚锁在机器里
Y9WjlhlcmJs_000003_000013#enc2zh#8 一个男人在健身房走到一个重量机器，开始使用它
Y9WjlhlcmJs_000003_000013#enc2zh#9 一个男人坐在锻炼机上，开始铺设
lQcirD6UngU_000012_000022#enc2zh#0 尿布中的一个婴儿躺在床上，然后起床并询问他的妈妈
lQcirD6UngU_000012_000022#enc2zh#1 一个婴儿哭泣，在床上发脾气
lQcirD6UngU_000012_000022#enc2zh#2 一个孩子开始哭泣，拿起一条毯子，扔掉它
lQcirD6UngU_000012_000022#enc2zh#3 一个孩子在床上为母亲哭泣，踢掉它的床单
lQcirD6UngU_000012_000022#enc2zh#4 宝宝对他的母亲哭泣，并从床上扔了一件物品
lQcirD6UngU_000012_000022#enc2zh#5 孩子在床上，不想穿衣服
lQcirD6UngU_000012_000022#enc2zh#6 小孩男孩在床上哭泣，把枕头扔到地板上
lQcirD6UngU_000012_000022#enc2zh#7 在他叫妈妈的时候，一个幼儿蹒跚而蹒跚而行
lQcirD6UngU_000012_000022#enc2zh#8 一个年轻的男孩是尿布在躺在床上哭泣，然后他坐下来扔东西
lQcirD6UngU_000012_000022#enc2zh#9 一个婴儿在床上哭泣和扔在床上的盖子
NJbB5BA7hwk_000003_000013#enc2zh#0 一个人正在拍摄按摩另一个人的脚，然后躺下
NJbB5BA7hwk_000003_000013#enc2zh#1 有人正在摩擦和按摩一个人的脚底
NJbB5BA7hwk_000003_000013#enc2zh#2 一个男人按摩自己的脚，而电视在背景中播放
NJbB5BA7hwk_000003_000013#enc2zh#3 一个人大量脚，听收音机
NJbB5BA7hwk_000003_000013#enc2zh#4 一只脚面向相机，因为有人使用拇指来脚部按摩
NJbB5BA7hwk_000003_000013#enc2zh#5 一个人让他们按摩按摩并被另一个人揉搓
NJbB5BA7hwk_000003_000013#enc2zh#6 一个人用手按摩另一个人的脚
NJbB5BA7hwk_000003_000013#enc2zh#7 一个人通过按摩圈子来摩擦另一个人的脚
NJbB5BA7hwk_000003_000013#enc2zh#8 一个人用手擦拭脚脚
NJbB5BA7hwk_000003_000013#enc2zh#9 用手感动和按摩汗水的脚
hJ2SPDIZH3U_000059_000069#enc2zh#0 那个男人和他的伴侣在舞厅里度过了美好的时光
hJ2SPDIZH3U_000059_000069#enc2zh#1 一个女人从她的身体和她和一个男人的表演中摇摆着一条腿
hJ2SPDIZH3U_000059_000069#enc2zh#2 一个男人和一个女人在大厅里跳舞，而其他人看
hJ2SPDIZH3U_000059_000069#enc2zh#3 一个女人在地板上与一个男人跳舞，而其他人则观看
hJ2SPDIZH3U_000059_000069#enc2zh#4 一个男人和一个女人在房间里跳了起来
hJ2SPDIZH3U_000059_000069#enc2zh#5 两个人在舞池上即将开始舞蹈，而音乐在背景中播放
hJ2SPDIZH3U_000059_000069#enc2zh#6 一个男人和一个女人在人们面前做一个舞蹈常规
hJ2SPDIZH3U_000059_000069#enc2zh#7 参加与旁观者的舞厅舞蹈课的一对夫妇
hJ2SPDIZH3U_000059_000069#enc2zh#8 一个男人和女人正在舞池上做探戈
hJ2SPDIZH3U_000059_000069#enc2zh#9 在有旁观者的同时，在可能是比赛中的一对夫妇
Vqzf8Gkq7OA_000129_000139#enc2zh#0 一个女人坐在地板上是把一大块胶带放在她的眼睛和眉毛上
Vqzf8Gkq7OA_000129_000139#enc2zh#1 一个女人将透明面膜应用于她的额头和眼睛区域
Vqzf8Gkq7OA_000129_000139#enc2zh#2 女士们停止笑，因为一个人在她的脸上戏弄了另一件胶带
Vqzf8Gkq7OA_000129_000139#enc2zh#3 一个女孩将塑料包裹物贴在眉毛上以删除不需要的头发
Vqzf8Gkq7OA_000129_000139#enc2zh#4 把凝胶放在额头上的女孩让她眼睛看着她和她的朋友开始笑
Vqzf8Gkq7OA_000129_000139#enc2zh#5 一个女人试图从她的脸上取下丝绸面膜
Vqzf8Gkq7OA_000129_000139#enc2zh#6 这个女孩在她的眉毛上放置胶带，如果没有什么，如果没有出来的话，然后在她的眼睑上说它
Vqzf8Gkq7OA_000129_000139#enc2zh#7 一个人在谈论和笑着笑着笑
Vqzf8Gkq7OA_000129_000139#enc2zh#8 一件紫色衬衫的女人把胶带放在她的脸上
Vqzf8Gkq7OA_000129_000139#enc2zh#9 一个女人闭上眼睛，她无法打开它们
D1ddrQYAlhw_000001_000011#enc2zh#0 一个人显示手技巧的雪橇与一个小球
D1ddrQYAlhw_000001_000011#enc2zh#1 一个少年在他的手指之间来回滚动蓝色的水晶球
D1ddrQYAlhw_000001_000011#enc2zh#2 一个男人展示了像玻璃球只使用双手和胳膊的技巧一样整洁的幻觉
D1ddrQYAlhw_000001_000011#enc2zh#3 展示与一个小球和他的手的一个年轻人技巧
D1ddrQYAlhw_000001_000011#enc2zh#4 一个年轻人在他的手臂上用一个小球来表演技巧
D1ddrQYAlhw_000001_000011#enc2zh#5 一个有肩长的头发和眼镜的十几岁的男孩旋转棒球大小的透明蓝色球
D1ddrQYAlhw_000001_000011#enc2zh#6 一个男人在他的手上平衡了一个蓝色的球，而他不断移动它们
D1ddrQYAlhw_000001_000011#enc2zh#7 一个孩子来回玩轻量级浮动球
D1ddrQYAlhw_000001_000011#enc2zh#8 一个人用手用球做伎俩
D1ddrQYAlhw_000001_000011#enc2zh#9 一个男人用玻璃球和他的双手表演各种技巧
x6wRCc5J5eY_000066_000076#enc2zh#0 有几个人在金属围场装载和卸载金属条
x6wRCc5J5eY_000066_000076#enc2zh#1 一群男人从卡车卸下废金属
x6wRCc5J5eY_000066_000076#enc2zh#2 工人在建筑院子里的卡车上卸下设备
x6wRCc5J5eY_000066_000076#enc2zh#3 在钢铁店里，少数人从车辆到地面卸下钢铁
x6wRCc5J5eY_000066_000076#enc2zh#4 两名男子去了卡车的一侧，递给了一捆铁携带
x6wRCc5J5eY_000066_000076#enc2zh#5 一个户外区域的平移射击，那么有些人卸载一辆卡车
x6wRCc5J5eY_000066_000076#enc2zh#6 三名男子从木材围场的卡车卸货
x6wRCc5J5eY_000066_000076#enc2zh#7 有些人从一辆黄色卡车的大床上删除了一件长品，而在背景中听到发动机噪音
x6wRCc5J5eY_000066_000076#enc2zh#8 在车辆床上的四个男性图中有两个，地面上的两个是从卡车上卸下材料
x6wRCc5J5eY_000066_000076#enc2zh#9 一群卡车里的男人正在卸载长材料
U0bYM2bPTKM_000006_000016#enc2zh#0 舞者正直举行鳄龟摇摆臂倾斜，向前倾斜以伸展伸展，并恢复平衡
U0bYM2bPTKM_000006_000016#enc2zh#1 表演者在舞台上跳舞，开始触摸观众的手
U0bYM2bPTKM_000006_000016#enc2zh#2 黑色紧身衣和顶部舞蹈的一个少妇到音乐平衡在一个包装的舞池上的几个人群成员的手上
U0bYM2bPTKM_000006_000016#enc2zh#3 一个女人在一个拥挤的俱乐部的人们头顶上跳舞
U0bYM2bPTKM_000006_000016#enc2zh#4 一个人站在一个人群欢呼的舞台上，他们站在人们的手上
U0bYM2bPTKM_000006_000016#enc2zh#5 表演者在舞台上跳舞，然后通过人群进行动态
U0bYM2bPTKM_000006_000016#enc2zh#6 有一大群人跳舞音乐，因为一个女孩是站在某些人的手跳舞
U0bYM2bPTKM_000006_000016#enc2zh#7 在EDM音乐会上的女性正试图在观众身上挤在观众身上
U0bYM2bPTKM_000006_000016#enc2zh#8 一个人在受众举行的同时跳舞
U0bYM2bPTKM_000006_000016#enc2zh#9 一个穿着黑色的女人正在举起人们以上人们的头上，而她跳舞歌曲
PcdvVIsO2eY_000061_000071#enc2zh#0 一个理发师打开并按摩一个男人的头部
PcdvVIsO2eY_000061_000071#enc2zh#1 理发师在坐在椅子上给客户提供头部按摩
PcdvVIsO2eY_000061_000071#enc2zh#2 在他坐在座位上的时候，理发师在一个男人的头发中揉搓滋补品
PcdvVIsO2eY_000061_000071#enc2zh#3 一个男人坐着摩擦并按摩另一个男人
PcdvVIsO2eY_000061_000071#enc2zh#4 一个男人正在按摩另一个男人的头，而男人微笑着
PcdvVIsO2eY_000061_000071#enc2zh#5 一个人坐在另一个人正在用手按摩他的头部
PcdvVIsO2eY_000061_000071#enc2zh#6 一个男人在一个黑色的主动座上坐在一个理发椅子里，而理发师在头部按摩期间擦拭他的辛苦
PcdvVIsO2eY_000061_000071#enc2zh#7 一个理发师大力打开并按摩一个男人的头，而男人坐在理发椅中
PcdvVIsO2eY_000061_000071#enc2zh#8 一个男人坐在他身后的男人，给了他一个非常有力的头皮按摩
PcdvVIsO2eY_000061_000071#enc2zh#9 在椅子上坐在椅子时，理发师大力按摩一个曼头
FinRO8rSgAY_000000_000010#enc2zh#0 一个家伙用他的腿和胳膊做锻炼
FinRO8rSgAY_000000_000010#enc2zh#1 在一个地毯的地板上，一个男人正在用手撑起腿部伸展锻炼
FinRO8rSgAY_000000_000010#enc2zh#2 一个男人通过抽腿做腿部练习
FinRO8rSgAY_000000_000010#enc2zh#3 短裤的男人在地板上锻炼身体
FinRO8rSgAY_000000_000010#enc2zh#4 一件黑色衬衫的男人正在展示运动举动的适当形式
FinRO8rSgAY_000000_000010#enc2zh#5 做山上升锻炼的地板上的一个人在他的地板上
FinRO8rSgAY_000000_000010#enc2zh#6 一个男人制作一个教程，他在地上用袜子在地上执行山地登山者
FinRO8rSgAY_000000_000010#enc2zh#7 一个人正在用手在地板上做一个运动技术，用腿跑到适当的地方
FinRO8rSgAY_000000_000010#enc2zh#8 该男子恰当地展示了他家中的山地登山者
FinRO8rSgAY_000000_000010#enc2zh#9 一个人在地上做膝盖踢锻炼
wH0GUySIQ_s_000004_000014#enc2zh#0 一个孩子在他的背上躺在地板上，别人看着他
wH0GUySIQ_s_000004_000014#enc2zh#1 痛苦的雄性呻吟，作为一只雌性的蜡，在他的背头发上笑着笑了
wH0GUySIQ_s_000004_000014#enc2zh#2 一小群人刚刚打蜡了一小块的一个人，他正在喘息疼痛
wH0GUySIQ_s_000004_000014#enc2zh#3 一个男人在痛苦中，他的下背头发被打蜡
wH0GUySIQ_s_000004_000014#enc2zh#4 一个人从铺设在地板上的男人的下背部迅速脱掉毛发去除条带
wH0GUySIQ_s_000004_000014#enc2zh#5 相机背后的人嘲笑另一个人躺在地板上，嘲笑他
wH0GUySIQ_s_000004_000014#enc2zh#6 一个年轻人躺在地板上，而另一个人撕下了醒来的腰部后面
wH0GUySIQ_s_000004_000014#enc2zh#7 一个男孩躺在地毯上，背上赤身裸体
wH0GUySIQ_s_000004_000014#enc2zh#8 一个人展示在躺在地上的人上打蜡的结果
wH0GUySIQ_s_000004_000014#enc2zh#9 一个人躺在地上呻吟，而另一个人在背上发出标记
t_E8gEnLtdY_000079_000089#enc2zh#0 一个男人向女人解释如何用刀子收获她的牡蛎中的肉
t_E8gEnLtdY_000079_000089#enc2zh#1 这个男人在牡蛎中发现珍珠
t_E8gEnLtdY_000079_000089#enc2zh#2 一个男人正在谈论并分享如何正确地握住一些牡蛎
t_E8gEnLtdY_000079_000089#enc2zh#3 一个男人解释并展示了他人如何从壳体中松开牡蛎
t_E8gEnLtdY_000079_000089#enc2zh#4 一个男人解释如何打开并删除牡蛎的消费
t_E8gEnLtdY_000079_000089#enc2zh#5 人们坐在一张桌子上，展示如何从壳体中取出肌肉
t_E8gEnLtdY_000079_000089#enc2zh#6 餐厅的人正在向壳牌脱离牡蛎的课程
t_E8gEnLtdY_000079_000089#enc2zh#7 一个男人展示了如何用刀子从壳中拿出牡蛎
t_E8gEnLtdY_000079_000089#enc2zh#8 一个男人用刀打开贻贝
t_E8gEnLtdY_000079_000089#enc2zh#9 一个人正在吃牡蛎，并描述如何从壳中脱离壳牌
OPjonSK9blk_000018_000028#enc2zh#0 小组男孩练习拳击拳击跑和踢一个杆的被指示
OPjonSK9blk_000018_000028#enc2zh#1 几个孩子跑了一个穿上一袋的最佳空手道
OPjonSK9blk_000018_000028#enc2zh#2 一群孩子在健身房四个孩子跑和练习踢
OPjonSK9blk_000018_000028#enc2zh#3 孩子正在被指示在武术课上跑步踢踢球然后跑回他们的地方
OPjonSK9blk_000018_000028#enc2zh#4 年轻的孩子在与他们的教练中一起练习空手道
OPjonSK9blk_000018_000028#enc2zh#5 在一个健身房，一群孩子正在击球袋锻炼
OPjonSK9blk_000018_000028#enc2zh#6 孩子们在空手道健身房跑朝向一些冲孔袋，跳跃它们
OPjonSK9blk_000018_000028#enc2zh#7 一群孩子在跑回之前跑到一个冲压并踢它
OPjonSK9blk_000018_000028#enc2zh#8 一群孩子在健身房楼上跑步，并踢出单独的高大袋子，有人正在恭维他们
OPjonSK9blk_000018_000028#enc2zh#9 一群小家伙跑跳跃并击中拳击袋，回到他们的位置
xxqkCP1oTis_000223_000233#enc2zh#0 两个人蹲在充气障碍后面，同时拍摄互相绘制球
xxqkCP1oTis_000223_000233#enc2zh#1 彩池课上的几个人藏在大型充气袋后面
xxqkCP1oTis_000223_000233#enc2zh#2 几个人在室内竞技场上演奏彩弹球，同时隐藏在不同的障碍之后
xxqkCP1oTis_000223_000233#enc2zh#3 几个人演奏彩弹的人正在使用障碍作为封面
xxqkCP1oTis_000223_000233#enc2zh#4 一群人在室内健身房玩彩弹射击时彼此隐藏
xxqkCP1oTis_000223_000233#enc2zh#5 人们使用爆炸金字塔从飞行涂料球屏蔽自己
xxqkCP1oTis_000223_000233#enc2zh#6 人们躲在健身房的障碍物后面，并试图互相拍摄
xxqkCP1oTis_000223_000233#enc2zh#7 气球遵循一个真正的遵循当前的产品不同
xxqkCP1oTis_000223_000233#enc2zh#8 彩弹粉扑游戏中的参与者正在拍摄和盖子背后的盖子形状的物体
xxqkCP1oTis_000223_000233#enc2zh#9 一个涂鸦游戏，反对球队正在躲在盖子后面并互相射击
E3FG1SdjzVk_000021_000031#enc2zh#0 一个男孩在驾驶范围内练习他的高尔夫球
E3FG1SdjzVk_000021_000031#enc2zh#1 一个孩子用高尔夫球蝙蝠击中高尔夫球
E3FG1SdjzVk_000021_000031#enc2zh#2 一个男孩正在练习他的高尔夫球击中，因为他的父亲鼓励他妥善鼓励他
E3FG1SdjzVk_000021_000031#enc2zh#3 一个年轻的男孩在驾驶范围内击中实践高尔夫球，而他的父亲拍摄他
E3FG1SdjzVk_000021_000031#enc2zh#4 一个小男孩在一个大领域击中高尔夫球
E3FG1SdjzVk_000021_000031#enc2zh#5 一个男孩在高尔夫球场练习促使
E3FG1SdjzVk_000021_000031#enc2zh#6 一个小孩在高尔夫球场练习他的高尔夫球摇摆
E3FG1SdjzVk_000021_000031#enc2zh#7 一个男孩撞到一个领域的高尔夫球，然后准备击中另一个
E3FG1SdjzVk_000021_000031#enc2zh#8 一个年轻的孩子摇摆着高尔夫俱乐部并击球
E3FG1SdjzVk_000021_000031#enc2zh#9 一个男孩在高尔夫球场上的一个高尔夫球俱乐部摆动一个高尔夫球杆，准确地击中它
6kkPlWASbbA_000368_000378#enc2zh#0 这位女士正在解释第一个酿造的倾倒，是一种清洗
6kkPlWASbbA_000368_000378#enc2zh#1 一组茶壶被排队，而一个人将一个人的内容物倒入碗里
6kkPlWASbbA_000368_000378#enc2zh#2 一个男人把水从茶壶里倒入一个杯子里
6kkPlWASbbA_000368_000378#enc2zh#3 一个男人拿起酿造锅，倒入杯子里
6kkPlWASbbA_000368_000378#enc2zh#4 在一个被拾取之前显示有盖子和手柄的四个白色容器，并将其倒入杯子之前
6kkPlWASbbA_000368_000378#enc2zh#5 一个男人用白色的泥罐倒出液体
6kkPlWASbbA_000368_000378#enc2zh#6 一个人在一张桌子上慢慢地把水放入杯子里
6kkPlWASbbA_000368_000378#enc2zh#7 一个女人正在说话，同时倾倒茶的茶
6kkPlWASbbA_000368_000378#enc2zh#8 茶被倒入一个杯子，而女人解释发生了什么
6kkPlWASbbA_000368_000378#enc2zh#9 一个人从白茶杯中倒出一些液体
bIiDiDUl2RU_000009_000019#enc2zh#0 两个人互相拥抱，而其他人走在他们身边，然后他们分开，互相搂着，一个人把手放在另一个人的脸上
bIiDiDUl2RU_000009_000019#enc2zh#1 两个亚洲艺术家之间的拥抱在舞台上互相祝贺
bIiDiDUl2RU_000009_000019#enc2zh#2 一个男人戴着太阳镜在音乐会上拥抱另一个男人后台
bIiDiDUl2RU_000009_000019#enc2zh#3 几个人在音乐会上互相拥抱
bIiDiDUl2RU_000009_000019#enc2zh#4 两个人穿着所有白色的衣服拥抱，在走开之前在肩膀上互相拍照
bIiDiDUl2RU_000009_000019#enc2zh#5 两个女孩穿着白色的衣服有太阳玻璃很高兴互相拥抱
bIiDiDUl2RU_000009_000019#enc2zh#6 两名男子正在微笑和彼此拥抱，而随意的人经过并观察
bIiDiDUl2RU_000009_000019#enc2zh#7 一个人在表演后在舞台上拥抱另一个人
bIiDiDUl2RU_000009_000019#enc2zh#8 白色夹克中的两个人彼此共享一个拥抱
bIiDiDUl2RU_000009_000019#enc2zh#9 韩国Rockstar乐队成员在演唱会上举起舞台
QqBS6yJuBog_000000_000010#enc2zh#0 一个女人鼓励小孩玩钢琴
QqBS6yJuBog_000000_000010#enc2zh#1 一个男婴正在学习在成年人的帮助下玩钢琴
QqBS6yJuBog_000000_000010#enc2zh#2 显示一个年轻男孩的妇女如何演奏钢琴
QqBS6yJuBog_000000_000010#enc2zh#3 一个幼儿坐在一个人在钥匙上按下钥匙，而一个女人试图帮助
QqBS6yJuBog_000000_000010#enc2zh#4 一个小孩正在播放器官，而一个成人支持他，奇怪的声音效果释放出来
QqBS6yJuBog_000000_000010#enc2zh#5 一位年长的女人帮助一个幼儿玩钢琴
QqBS6yJuBog_000000_000010#enc2zh#6 站立与小孩男孩的夫人坐在器官帮助他扮演一些钥匙
QqBS6yJuBog_000000_000010#enc2zh#7 一个女人站在小孩后面，帮助他玩电子器官
QqBS6yJuBog_000000_000010#enc2zh#8 幼儿扮演一个电子器官，因为女人鼓励他的行为
QqBS6yJuBog_000000_000010#enc2zh#9 一个幼儿在钢琴上扮演钥匙，在另一个女人站在他身后的女人的帮助下
QyMTEHd-VCc_000004_000014#enc2zh#0 一个人正在跑步，正在跳上沙子
QyMTEHd-VCc_000004_000014#enc2zh#1 一位女士在一场长的跳跃游戏中跑了一跳
QyMTEHd-VCc_000004_000014#enc2zh#2 一个女人在赛道上，她正在练习她的长跳
QyMTEHd-VCc_000004_000014#enc2zh#3 一个女人正在练习她的跳远，而她的朋友记录
QyMTEHd-VCc_000004_000014#enc2zh#4 一个女孩跳进沙坑
QyMTEHd-VCc_000004_000014#enc2zh#5 一个人在赛道上运行并试图执行长跳
QyMTEHd-VCc_000004_000014#enc2zh#6 一个男人跑到轨道上，跳跃长时间
QyMTEHd-VCc_000004_000014#enc2zh#7 运动员跑得全速下来，漫长的跳跃课程和土地落在沙滩上
QyMTEHd-VCc_000004_000014#enc2zh#8 一个女人跑步然后跳得很高跳到创造距离
QyMTEHd-VCc_000004_000014#enc2zh#9 一个人正在运行，然后跳进沙箱
b8vAhQSYN-g_000000_000010#enc2zh#0 公园的两个年轻女孩练习舞蹈或啦啦队常规
b8vAhQSYN-g_000000_000010#enc2zh#1 两个女士们看起来很开心，外面共享一个秘密握手
b8vAhQSYN-g_000000_000010#enc2zh#2 几个女孩站在彼此相邻，玩某种游戏
b8vAhQSYN-g_000000_000010#enc2zh#3 两个年轻女性正在玩某种手拍手游戏
b8vAhQSYN-g_000000_000010#enc2zh#4 两个女孩试图在同步中做一个奇怪的舞蹈程序
b8vAhQSYN-g_000000_000010#enc2zh#5 做握手的两个十几岁的女孩，当在围场时
b8vAhQSYN-g_000000_000010#enc2zh#6 两个穿着短裤的女孩都在他们家外做有趣的事情
b8vAhQSYN-g_000000_000010#enc2zh#7 站在草坪外面的两个年轻女性开始拍拍他们的大腿，并执行拍拍拍摄和转动常规
b8vAhQSYN-g_000000_000010#enc2zh#8 在一个绿色邻里的两个女孩在一个晴天播放手拍手与额外的手势，包括臀部凹凸
b8vAhQSYN-g_000000_000010#enc2zh#9 两个女性外面做手动作动和移动他们的腿
w4zEea_xufs_000605_000615#enc2zh#0 一个女人正在洗水浴中的奶酪，并解释他们的纹理
w4zEea_xufs_000605_000615#enc2zh#1 一个女人用充满水的浴缸拉出一些白色圆盘
w4zEea_xufs_000605_000615#enc2zh#2 一位女士拿出一些奶酪轮，她一直在盐中浸泡
w4zEea_xufs_000605_000615#enc2zh#3 这位女士正在使用一些氯化钙化学品进行演示
w4zEea_xufs_000605_000615#enc2zh#4 人从水中拉出圆形圆盘并用拇指摩擦它们
w4zEea_xufs_000605_000615#enc2zh#5 一个人从一碗水中挑选奶酪并将它放在盘子里
w4zEea_xufs_000605_000615#enc2zh#6 女性将盐块拉出水桶
w4zEea_xufs_000605_000615#enc2zh#7 一个女人在一个充满液体的清晰容器中有圆形的混凝土物品，并给出指示
w4zEea_xufs_000605_000615#enc2zh#8 听到一个女人的声音，描述了描述她的行为的相机，因为她从清除解决方案的矩形容器中除去水浸泡的圆形海绵或蛋糕
w4zEea_xufs_000605_000615#enc2zh#9 一名妇女从一块水容器中去除奶酪块
EZX06L1OsQU_000016_000026#enc2zh#0 一个男人站在阳台上拿着并击中了一个锣
EZX06L1OsQU_000016_000026#enc2zh#1 一个人展示有人在外面击中了一个大的打击乐
EZX06L1OsQU_000016_000026#enc2zh#2 一个男人站在一个锣旁边用锤子击中它
EZX06L1OsQU_000016_000026#enc2zh#3 一个女性使用鼓棍击中鼓
EZX06L1OsQU_000016_000026#enc2zh#4 一个人使用锤子只有一次击中锣
EZX06L1OsQU_000016_000026#enc2zh#5 一个男人穿着一件t恤和蓝色牛仔裤击中了一个锣和测试声音
EZX06L1OsQU_000016_000026#enc2zh#6 一个男人和一个女人正在玩一只锣，试图让人变得越来越响亮
EZX06L1OsQU_000016_000026#enc2zh#7 一个男人轻轻地用棍子施加力在锣上时发出噪音
EZX06L1OsQU_000016_000026#enc2zh#8 一个男人在背景中与某人说话，并演奏中国洲锣乐器
EZX06L1OsQU_000016_000026#enc2zh#9 一个人撞到一个锣，并让每次打击都响亮
fh64vbutTrI_000141_000151#enc2zh#0 一个男人在超级快速速度在海滩上建一个沙子城堡
fh64vbutTrI_000141_000151#enc2zh#1 一个男人在快速运动的海滩上制作沙堡
fh64vbutTrI_000141_000151#enc2zh#2 一名男子在海滩上建造沙城堡
