3c0hLqxvSSI_000000_000010#enc2zh#0 在不同的变异的平台上的一个人俯卧撑
efPoCzQDvxw_000020_000030#enc2zh#6 一名妇女坐在她的卧室里，因为她吃了她的三明治
efPoCzQDvxw_000020_000030#enc2zh#7 一名年轻女子用一些脆皮培根占着一边的三明治
efPoCzQDvxw_000020_000030#enc2zh#8 一个女人的电影自己吃了一个小吃，笑着笑了
efPoCzQDvxw_000020_000030#enc2zh#9 十几岁的女孩视频聊天，同时在她的房间吃三明治
YHVzRUhCFl0_000088_000098#enc2zh#0 有人坐在风筝上，开始通过在空中举起风筝滑雪板
YHVzRUhCFl0_000088_000098#enc2zh#1 一个人蹲在雪地上，然后跳到空气中，同时拿到风筝
YHVzRUhCFl0_000088_000098#enc2zh#2 当他握到降落伞上时，一个人骑着滑雪板，然后通过空气飞行
YHVzRUhCFl0_000088_000098#enc2zh#3 冰上的男人正在使用滑雪板，并使用电线将自己拉入空中
YHVzRUhCFl0_000088_000098#enc2zh#4 一个人是雪典型，在环境中有乐趣，有太阳
YHVzRUhCFl0_000088_000098#enc2zh#5 在雪地里，一个人是滑雪者的，同时依附于降落伞，降落伞将他和董事会升级到空中
YHVzRUhCFl0_000088_000098#enc2zh#6 一个人跳上滑雪板上的雪板拿着降落伞在风中
YHVzRUhCFl0_000088_000098#enc2zh#7 帆瓶船用他的滑雪板拉起一个人
YHVzRUhCFl0_000088_000098#enc2zh#8 一个人在被抬起到空中之前骑着滑雪板
YHVzRUhCFl0_000088_000098#enc2zh#9 一个男人在雪地上的风筝板就像太阳设置一样
kvhNRg4WFzA_000002_000012#enc2zh#0 一个人剥离，然后在几层面料上进行折叠
kvhNRg4WFzA_000002_000012#enc2zh#1 有人折叠在一张木桌上的红色布料餐巾
kvhNRg4WFzA_000002_000012#enc2zh#2 一个人正在使用桌子将餐巾折叠成设计
kvhNRg4WFzA_000002_000012#enc2zh#3 一位女士，如果折叠餐巾，仿佛它正在准备晚餐
kvhNRg4WFzA_000002_000012#enc2zh#4 一个人展开红色的餐巾纸然后开始重新折叠它
kvhNRg4WFzA_000002_000012#enc2zh#5 一个人正在展示一块红色织物的折叠
kvhNRg4WFzA_000002_000012#enc2zh#6 人类折叠成贴身餐巾
kvhNRg4WFzA_000002_000012#enc2zh#7 一个人在音乐播放时计算和折叠餐巾纸
kvhNRg4WFzA_000002_000012#enc2zh#8 一个人在木质表面上展开了几个餐巾的角落
kvhNRg4WFzA_000002_000012#enc2zh#9 一个人用手指剥去红纸层并折叠它们
Y0_Mf54Ie0k_000201_000211#enc2zh#0 做瑜伽的一个少妇摆在瑜伽席子
Y0_Mf54Ie0k_000201_000211#enc2zh#1 一个女人从一个瑜伽姿势转向向下面对的狗
Y0_Mf54Ie0k_000201_000211#enc2zh#2 一个女人伸展并在瑜伽垫上表演姿势
Y0_Mf54Ie0k_000201_000211#enc2zh#3 一个女人演示瑜伽在描述她的行为时摆着姿势
Y0_Mf54Ie0k_000201_000211#enc2zh#4 一个女人正在解释如何进入不同的瑜伽姿势
Y0_Mf54Ie0k_000201_000211#enc2zh#5 一个女人在瑜伽垫上表演一系列延伸
Y0_Mf54Ie0k_000201_000211#enc2zh#6 一个女人正在练习两种不同的瑜伽姿势，涉及伸展和到达
Y0_Mf54Ie0k_000201_000211#enc2zh#7 一个女人在硬木地板上有一个垫子，正在做瑜伽姿势
Y0_Mf54Ie0k_000201_000211#enc2zh#8 看到一个瑜伽教练显示瑜伽姿势，而她的声音解释了发生的事情
Y0_Mf54Ie0k_000201_000211#enc2zh#9 一个女人在她抬起时，她如何在她的房间里在她的房间里表演瑜伽
-1nK1bPQYEc_000149_000159#enc2zh#0 一个女人在厨房里削减另一个人的头发，那个人坐在椅子上，用红色的海角
-1nK1bPQYEc_000149_000159#enc2zh#1 一位女士通过将布料放在另一个人身上的布料来修剪另一个人的头发
-1nK1bPQYEc_000149_000159#enc2zh#2 一个女人刮着一个人的头，坐在她面前的红色围裙
-1nK1bPQYEc_000149_000159#enc2zh#3 两名女性在厨房里，而一个女人削减了另一个毛发
-1nK1bPQYEc_000149_000159#enc2zh#4 视频展示了一个人在厨房里给另一个人提供理发
-1nK1bPQYEc_000149_000159#enc2zh#5 一个女人正在嗡嗡的厨房里面的头发
-1nK1bPQYEc_000149_000159#enc2zh#6 一个人坐在厨房里，在厨房里，在他们周围的窗边，妇女站在剪头发的人背后
-1nK1bPQYEc_000149_000159#enc2zh#7 一个女人在说话时用机器刮胡子的女人
-1nK1bPQYEc_000149_000159#enc2zh#8 当她和她谈话时，一位女士在厨房里剪头发
-1nK1bPQYEc_000149_000159#enc2zh#9 年轻的男孩的头发被他的奶奶在厨房里修剪
3I0uO2fwVCk_000020_000030#enc2zh#0 当人们评论她的课程时，滑雪者障碍物
3I0uO2fwVCk_000020_000030#enc2zh#1 一个人在障碍地操纵时滑下山丘
3I0uO2fwVCk_000020_000030#enc2zh#2 一个人以高速滑下积雪覆盖的斜坡
3I0uO2fwVCk_000020_000030#enc2zh#3 滑雪者在一个小雪橇课程上落下了一个小雪山
3I0uO2fwVCk_000020_000030#enc2zh#4 播音员正在互相交谈，因为观察滑雪者在比赛中谈论轮流
3I0uO2fwVCk_000020_000030#enc2zh#5 一艘雪滑雪者将沿着滑雪斜率沿着标记踪迹的杆子
3I0uO2fwVCk_000020_000030#enc2zh#6 有人在播放的山丘上滑雪，播音员叙述正在发生的事情
3I0uO2fwVCk_000020_000030#enc2zh#7 一名雪滑雪者，似乎是在滑雪滑雪场的竞争中
3I0uO2fwVCk_000020_000030#enc2zh#8 随着观众的看，一个人正在滑雪下雪覆盖的斜坡
3I0uO2fwVCk_000020_000030#enc2zh#9 通过别人俯视的课程滑下雪坡的人
-C_s9oUnFek_000003_000013#enc2zh#0 至少有两个人走在一个距离分开的公园里
-C_s9oUnFek_000003_000013#enc2zh#1 一个男孩在一个开放的领域投球给另一个孩子
-C_s9oUnFek_000003_000013#enc2zh#2 有些人在背景中与公寓楼走在荒地上
-C_s9oUnFek_000003_000013#enc2zh#3 人投球球另一个人在磨损的田野和投手看起来看起来
-C_s9oUnFek_000003_000013#enc2zh#4 一个人正在录制另一个人在一个正在录制的人扔东西的领域
-C_s9oUnFek_000003_000013#enc2zh#5 一个领域的一个人正在扔棒球
-C_s9oUnFek_000003_000013#enc2zh#6 一个带着帽子的人在地上扔东西很快
-C_s9oUnFek_000003_000013#enc2zh#7 一个人在拍摄他们的人身上抛出棒球
-C_s9oUnFek_000003_000013#enc2zh#8 距离中的一个人在摄影师走过时抛出飞碟
-C_s9oUnFek_000003_000013#enc2zh#9 摆在为象草的领域的照相机的一个人
saXahlRV7s4_000022_000032#enc2zh#0 一个婴儿从一个啜饮的杯子喝果汁，在一个人抱着杯子的底部，他们笑着笑了起来
saXahlRV7s4_000022_000032#enc2zh#1 坐在椅子上的一个男婴微笑，因为他在喝出啜饮的杯子时谈话
saXahlRV7s4_000022_000032#enc2zh#2 一个婴儿从一个成年人帮助的同时从啜饮的杯子喝黑暗的液体
saXahlRV7s4_000022_000032#enc2zh#3 一个婴儿在瓶子里喝着果汁，一个男人对他说话
saXahlRV7s4_000022_000032#enc2zh#4 婴儿在嘴里拿着一杯杯杯，开始落到一边
saXahlRV7s4_000022_000032#enc2zh#5 一个婴儿在一个啜饮的杯子里喝果汁，而一个男人的相机说我喜欢果汁
saXahlRV7s4_000022_000032#enc2zh#6 一个小男孩在一个男人跟他说话时从杯子里吮吸果汁
saXahlRV7s4_000022_000032#enc2zh#7 从塑料杯子和微笑的婴儿饮用，同时坐在一个小摇杆
saXahlRV7s4_000022_000032#enc2zh#8 一个小宝宝用他的双手抓住一个瓶子，喝一些果汁
saXahlRV7s4_000022_000032#enc2zh#9 一个小男孩拿着一个啜饮的杯子汁液微笑和笑
wYJqvbUc9mw_000136_000146#enc2zh#0 舞者的剧团正在演奏舞蹈常规，而音乐正在玩，一个男人正在谈论
wYJqvbUc9mw_000136_000146#enc2zh#1 一群人在舞台上迈向观众
wYJqvbUc9mw_000136_000146#enc2zh#2 一群女性在教堂上快速音乐舞蹈
wYJqvbUc9mw_000136_000146#enc2zh#3 一群人在舞台上跳舞，在前排中跳舞
wYJqvbUc9mw_000136_000146#enc2zh#4 一群人在一个女人看起来时拍手和跳舞
wYJqvbUc9mw_000136_000146#enc2zh#5 一群孩子在他们的教堂举办活动
wYJqvbUc9mw_000136_000146#enc2zh#6 一群人在人们看的时候在舞台上跳舞
wYJqvbUc9mw_000136_000146#enc2zh#7 教堂合唱团在现场观众面前执行一首歌和舞蹈号码
wYJqvbUc9mw_000136_000146#enc2zh#8 一个男人在舞台上的几个舞者面前跳舞和唱歌
wYJqvbUc9mw_000136_000146#enc2zh#9 男人和女人在观众面前的舞台上进行舞蹈
oX7WkOAp3qM_000018_000028#enc2zh#0 一个人按摩坐在椅子上的女人的腰部
oX7WkOAp3qM_000018_000028#enc2zh#1 一个男人把手蜷缩成一个拳头，给女人一个背部按摩
oX7WkOAp3qM_000018_000028#enc2zh#2 一个男人用拳头按摩一个女人
oX7WkOAp3qM_000018_000028#enc2zh#3 一个男人正在按摩一个女人的背板
oX7WkOAp3qM_000018_000028#enc2zh#4 那个男人正在向女人挤压到按摩或缓解疼痛
oX7WkOAp3qM_000018_000028#enc2zh#5 按摩椅子的一个女人从一个男人得到后面按摩
oX7WkOAp3qM_000018_000028#enc2zh#6 一个男人正在给女人按摩
oX7WkOAp3qM_000018_000028#enc2zh#7 一个男人正在对女人进行背部压力，因为给出了描述
oX7WkOAp3qM_000018_000028#enc2zh#8 一个男人给一个女人坐在椅子后面按摩
oX7WkOAp3qM_000018_000028#enc2zh#9 一个语音叙述如何在某人的后面进行关节按摩
98MFLcEG5vQ_000007_000017#enc2zh#0 一个年轻人在健身房里举重了很大的重量
98MFLcEG5vQ_000007_000017#enc2zh#1 一个男人在健身房准备自己举重体重
98MFLcEG5vQ_000007_000017#enc2zh#2 一个浅蓝色衬衫的人抬起重量
98MFLcEG5vQ_000007_000017#enc2zh#3 一个人正在抬起地面的重量很大
98MFLcEG5vQ_000007_000017#enc2zh#4 一个人死在两端的重量抬起重量杆
98MFLcEG5vQ_000007_000017#enc2zh#5 一个男人抬起大型自由蹲下，然后拿起它
98MFLcEG5vQ_000007_000017#enc2zh#6 一只男性在健身房锻炼身体上
98MFLcEG5vQ_000007_000017#enc2zh#7 一名男子被认为试图抬起沉重的重量
98MFLcEG5vQ_000007_000017#enc2zh#8 一个男人站在加重的杠铃前，抬起它，然后做一个干净的混蛋
98MFLcEG5vQ_000007_000017#enc2zh#9 一个男人准备蹲下，然后抬起大量重量
_LfgM432d5I_000000_000010#enc2zh#0 一位女士让她的脸上用刷子抚摸着她的脸
_LfgM432d5I_000000_000010#enc2zh#1 皮肤质量差的黑人女性使用刷子占据了脸部，这些刷子被反复用于没有效果
_LfgM432d5I_000000_000010#enc2zh#2 一个人正在使用刷子来施加妆容到另一个女人的脸上
_LfgM432d5I_000000_000010#enc2zh#3 一个人用垃圾第一个脸颊将粉末施加到一个女人的脸上然后是另一个脸颊
_LfgM432d5I_000000_000010#enc2zh#4 一个女人的声音正在做如何申请化妆的教程
_LfgM432d5I_000000_000010#enc2zh#5 一个女人正在描述如何使用这款刷子来应用一些化妆
_LfgM432d5I_000000_000010#enc2zh#6 一个女人使用大化妆刷将粉末涂抹在她的脸上
_LfgM432d5I_000000_000010#enc2zh#7 一个女人使用基础刷子指示其他人如何使用刷子申请基础
_LfgM432d5I_000000_000010#enc2zh#8 使用粉刷刷子可以看到一个人，将妆容涂抹在她的脸上
_LfgM432d5I_000000_000010#enc2zh#9 一个女人使用大刷子涂上基础和妆容
kgQhFY-6q_g_000000_000010#enc2zh#0 一个年轻的女孩爬在树木繁茂的地区的树枝上
kgQhFY-6q_g_000000_000010#enc2zh#1 一个小女孩试图爬一棵树
kgQhFY-6q_g_000000_000010#enc2zh#2 一个小孩在成年人问她在做什么之前爬一棵树
kgQhFY-6q_g_000000_000010#enc2zh#3 一个女孩爬上一棵树，因为一个男人问她你在攀登什么
kgQhFY-6q_g_000000_000010#enc2zh#4 一个年轻的女孩在树林里爬上一棵树，她也谈到了相机的人
kgQhFY-6q_g_000000_000010#enc2zh#5 一个小女孩正在爬上一个小小的三个，一个人问她她爬上什么
kgQhFY-6q_g_000000_000010#enc2zh#6 一个小女孩试图爬上一棵树拿着树枝
kgQhFY-6q_g_000000_000010#enc2zh#7 一个棕色的头发的一个小女孩正在爬进一棵树
kgQhFY-6q_g_000000_000010#enc2zh#8 一个小女孩正试图爬上一棵小树
kgQhFY-6q_g_000000_000010#enc2zh#9 试图爬在树林里的一个小女孩在树林里
nF64BTCr6P8_000001_000011#enc2zh#0 男孩通过带出滚动球的装置帮助他的妹妹碗
nF64BTCr6P8_000001_000011#enc2zh#1 一个保龄球馆里的一个男孩向车道移动一个机架，让女孩试图带来沉重的保龄球
nF64BTCr6P8_000001_000011#enc2zh#2 一个小女孩拿着保龄球，等待一个小男孩把设备放在一个地方，这将有助于她更好地击中她的目标
nF64BTCr6P8_000001_000011#enc2zh#3 在一个保龄球馆里，一个年轻的女孩正在得到她的保龄球
nF64BTCr6P8_000001_000011#enc2zh#4 一个小女孩拿着保龄球，而另一个小男孩移动设备，所以她可以把它滚下来到保龄球道
nF64BTCr6P8_000001_000011#enc2zh#5 两个孩子正在尝试在巷子里互相帮助
nF64BTCr6P8_000001_000011#enc2zh#6 一个年轻的男孩帮助一个年轻的女孩设置保龄球自适应设备
nF64BTCr6P8_000001_000011#enc2zh#7 一个男孩和他的妹妹在保龄球上互相帮助
nF64BTCr6P8_000001_000011#enc2zh#8 一个小女孩拿着一个保龄球，而她的兄弟帮助她得到帮助工具
nF64BTCr6P8_000001_000011#enc2zh#9 两个小孩正在使用保龄球工具来帮助他们碗
R5Cxx6Mr4c4_000044_000054#enc2zh#0 男人正在解释屏幕上显示的一个或多个公司的瓷砖如何
R5Cxx6Mr4c4_000044_000054#enc2zh#1 一个男人正在使用工具将瓷砖剪成两半
R5Cxx6Mr4c4_000044_000054#enc2zh#2 用工具切割机和其他木匠切割板
R5Cxx6Mr4c4_000044_000054#enc2zh#3 DIY公司的积分卷筒手套的手显示切割瓷砖，而叙述者谈到公司的经验
R5Cxx6Mr4c4_000044_000054#enc2zh#4 有人展示了如何在地板上使用瓷砖刀具
R5Cxx6Mr4c4_000044_000054#enc2zh#5 一个男人使用一些工具来帮助切片一块木头
R5Cxx6Mr4c4_000044_000054#enc2zh#6 一个人正在在建筑物中表演砖石工作，而有人则叙述
R5Cxx6Mr4c4_000044_000054#enc2zh#7 多个家庭改进公司的广告显示一个人的切割瓷砖
R5Cxx6Mr4c4_000044_000054#enc2zh#8 一个男人谈论Luci Livity Interiors描述批准的瓷砖斗争
R5Cxx6Mr4c4_000044_000054#enc2zh#9 文本向上滚动，然后一个人在地板上切割东西
HxvbQosgRWs_000000_000010#enc2zh#0 一个女孩坐在汽车的后面是通过以非常适合的方式播放录音机讨厌司机
HxvbQosgRWs_000000_000010#enc2zh#1 一个女孩在坐在车里坐着一块笛子
HxvbQosgRWs_000000_000010#enc2zh#2 坐在汽车的后座的女人扮演一个绿色记录仪
HxvbQosgRWs_000000_000010#enc2zh#3 一个女孩在汽车的后座中扮演一个录音机
HxvbQosgRWs_000000_000010#enc2zh#4 当她播放录音机时，一个女孩坐在汽车座椅后面
HxvbQosgRWs_000000_000010#enc2zh#5 一个女孩坐在车的后面，播放录音机
HxvbQosgRWs_000000_000010#enc2zh#6 一个女孩坐在汽车的后座，并弹奏长笛
HxvbQosgRWs_000000_000010#enc2zh#7 一个女孩在汽车后座上打一个绿色长笛
HxvbQosgRWs_000000_000010#enc2zh#8 一名年轻女子坐在车里，散布一长笛
HxvbQosgRWs_000000_000010#enc2zh#9 一个女人坐在一辆汽车的后座上，戴着太阳镜在播放仪器上播放长笛
H6br3lzeFSA_000002_000012#enc2zh#0 一个婴儿拿着热狗，坐在高脚上笑着笑，然后一只男性兴趣的声音在最后笑了
H6br3lzeFSA_000002_000012#enc2zh#1 当她吃三明治时，婴儿笑着微笑
H6br3lzeFSA_000002_000012#enc2zh#2 拿着三明治Coos的一个年轻男孩和滚动他的头
H6br3lzeFSA_000002_000012#enc2zh#3 一个婴儿坐在高椅子上微笑，一只手拿着一支面包长方形面包
H6br3lzeFSA_000002_000012#enc2zh#4 一个座位上的一个小孩微笑着拿着热狗
H6br3lzeFSA_000002_000012#enc2zh#5 一个小孩在一只手里拿着一个热门的小圆面包，微笑着
H6br3lzeFSA_000002_000012#enc2zh#6 一个婴儿坐在高椅子上，在她咀嚼面包时微笑着微笑
H6br3lzeFSA_000002_000012#enc2zh#7 亚洲宝宝在持有和吃热狗面包时微笑着
H6br3lzeFSA_000002_000012#enc2zh#8 一个婴儿坐在椅子上抱着一个三明治，同时咀嚼和凝固
H6br3lzeFSA_000002_000012#enc2zh#9 一个年轻的女孩坐在高椅上，吃东西，非常甜蜜地微笑
IRlCDEI7R_Q_000157_000167#enc2zh#0 一块不锈钢碗切割水果是及时扭曲的，掌握一只脸的水果，脸部吃饭，面部的身体出现拿着碗水果
IRlCDEI7R_Q_000157_000167#enc2zh#1 在一位女士正在播放一首歌时，一位女士正在准备水果沙拉和吃饭
IRlCDEI7R_Q_000157_000167#enc2zh#2 一个人炫耀一碗水果沙拉
IRlCDEI7R_Q_000157_000167#enc2zh#3 一名妇女在音乐剧时显示一碗水果沙拉
IRlCDEI7R_Q_000157_000167#enc2zh#4 一碗水果沙拉显示，一个女人带着水果，吃它
IRlCDEI7R_Q_000157_000167#enc2zh#5 她的厨房里的一个女人在不锈钢碗里显示水果沙拉
IRlCDEI7R_Q_000157_000167#enc2zh#6 一个人有一个大碗，里面有一些水果
IRlCDEI7R_Q_000157_000167#enc2zh#7 一个女人正在炫耀她的水果沙拉，然后味道味道
IRlCDEI7R_Q_000157_000167#enc2zh#8 站在厨房里的女人展示了一个成品的水果沙拉
IRlCDEI7R_Q_000157_000167#enc2zh#9 一个女孩炫耀一碗水果沙拉，然后继续吃掉其中一个碎片
RYZwTeMMboc_000079_000089#enc2zh#0 两个新的锚点给出新闻和笑的时候
RYZwTeMMboc_000079_000089#enc2zh#1 一个男人和一个女人新闻在新闻秀的尽头正在谈论
RYZwTeMMboc_000079_000089#enc2zh#2 两个新闻锚定一个男人在左侧的黑色西装，女性在右侧戴着红色衬衫报告频道5的日常新闻
RYZwTeMMboc_000079_000089#enc2zh#3 两个新闻脚轮完成了新闻故事，笑着笑着翻阅论文
RYZwTeMMboc_000079_000089#enc2zh#4 在新闻中，两个人坐着互相交谈
RYZwTeMMboc_000079_000089#enc2zh#5 一个女人在谈话时展示了新闻的笑声嘲笑她旁边的人
RYZwTeMMboc_000079_000089#enc2zh#6 两个新闻锚在新闻工作室做新闻
RYZwTeMMboc_000079_000089#enc2zh#7 两个新闻锚交换时笑了解表演的结局
RYZwTeMMboc_000079_000089#enc2zh#8 像她对她的论文分类一样，一个女人笑话
RYZwTeMMboc_000079_000089#enc2zh#9 新闻站谈话的一个女人完成了她正在做的故事，并笑着她的太乐筋
YnPNwzxXHX8_000024_000034#enc2zh#0 一个男人谈论如何扔足球，并通过在健身房扔足球来演示
YnPNwzxXHX8_000024_000034#enc2zh#1 一个男人正在教导观众，以适当的方式在篮球场内投掷足球
YnPNwzxXHX8_000024_000034#enc2zh#2 在篮球健身房里面一名男子穿着一件黑色衬衫和绿色豆豆帽子描述并展示了如何扔足球
YnPNwzxXHX8_000024_000034#enc2zh#3 一个年轻人解释并展示了如何扔足球
YnPNwzxXHX8_000024_000034#enc2zh#4 一个人在健身房扔到健身房的另一边扔足球
YnPNwzxXHX8_000024_000034#enc2zh#5 一个男人解释了如何在健身房扔橄榄球
YnPNwzxXHX8_000024_000034#enc2zh#6 一个男人在室内健身房扔橄榄球和解释它
YnPNwzxXHX8_000024_000034#enc2zh#7 一个男人展示如何在展示时扔球的说明
YnPNwzxXHX8_000024_000034#enc2zh#8 一个男人抱着球扔到了长途跋涉到墙上
YnPNwzxXHX8_000024_000034#enc2zh#9 一个男人正在描述如何扔足球并通过扔它来演示
ilaWmMx7Ag0_000022_000032#enc2zh#0 男人互相帮助，因为他们操作正在切割树木的机器
ilaWmMx7Ag0_000022_000032#enc2zh#1 一群男人正在操作一种锯以削减树木日志
ilaWmMx7Ag0_000022_000032#enc2zh#2 一群男人一起工作，看到并处理登录木材
ilaWmMx7Ag0_000022_000032#enc2zh#3 一些木材劳动者一起使用大锯来切割大量日志
ilaWmMx7Ag0_000022_000032#enc2zh#4 一群男人正在逐一衬里衬里上工作
ilaWmMx7Ag0_000022_000032#enc2zh#5 五名工人正在使用便携式锯木厂从原始木材制作板
ilaWmMx7Ag0_000022_000032#enc2zh#6 一群男士使用机器浏览日志
ilaWmMx7Ag0_000022_000032#enc2zh#7 一群男人推着木粉碎机切碎木头
ilaWmMx7Ag0_000022_000032#enc2zh#8 一群男人正在经营一台大型机器，刮掉木质木制的吠声
ilaWmMx7Ag0_000022_000032#enc2zh#9 人们在直线上装配日志，而一个人推动机器解析日志
LPq0b8YnP5g_000000_000010#enc2zh#0 一个红色的豆豆和外套的女人在镜头上扔了一个巨大的雪球
LPq0b8YnP5g_000000_000010#enc2zh#1 一个男孩制作一个大雪球，尽可能地抛出它
LPq0b8YnP5g_000000_000010#enc2zh#2 一个年轻的男孩和他的家庭在户外制作雪球，并在他有大桩时互相击倒它们
LPq0b8YnP5g_000000_000010#enc2zh#3 一个人从墙壁后面升起，并在另一个人扔雪球
LPq0b8YnP5g_000000_000010#enc2zh#4 一个年轻人在一个看着他的人扔雪球
LPq0b8YnP5g_000000_000010#enc2zh#5 一个人站在一堆雪背后和投掷雪球
LPq0b8YnP5g_000000_000010#enc2zh#6 男孩对某人抛出一个巨大的雪球，然后抛出两个更小的雪球
LPq0b8YnP5g_000000_000010#enc2zh#7 一个孩子在雪地里玩耍的雪球
LPq0b8YnP5g_000000_000010#enc2zh#8 一个躲在雪球后面的男孩站起来，开始发射它们
LPq0b8YnP5g_000000_000010#enc2zh#9 一个女人在相机男人扔了一场大雪球，然后在笑的时候扔少时扔较小的雪球
SMUyg52T0no_000147_000157#enc2zh#0 舞蹈课是广告显示舞蹈课和教师
SMUyg52T0no_000147_000157#enc2zh#1 这位女士正在诱惑一些未来的客户加入他们跳舞
SMUyg52T0no_000147_000157#enc2zh#2 一群人在挥杆舞蹈班上跳舞
SMUyg52T0no_000147_000157#enc2zh#3 几个人在舞池上跳舞，做秋千舞
SMUyg52T0no_000147_000157#enc2zh#4 一群人在舞池上跳舞，而一个女人给出面试
SMUyg52T0no_000147_000157#enc2zh#5 当教练鼓励其他人尝试时，人们作为一个团队跳舞
SMUyg52T0no_000147_000157#enc2zh#6 一群人跳舞和一个女人解释说它应该与任何一方一起去
SMUyg52T0no_000147_000157#enc2zh#7 一个人正在运行一个挥杆舞蹈等级，然后正在解释挥杆跳舞
SMUyg52T0no_000147_000157#enc2zh#8 记者展示了一个在活动中跳舞的人
SMUyg52T0no_000147_000157#enc2zh#9 随着舞厅的所有者接受采访时，一群人可以看到不同的舞蹈惯例
8MXbOfLTnXg_000089_000099#enc2zh#0 一个男人在商店里改变了车上的轮胎
8MXbOfLTnXg_000089_000099#enc2zh#1 一名男子通过首先拆除枢纽，然后拆除轮胎来改变轮胎
8MXbOfLTnXg_000089_000099#enc2zh#2 一个男人正在以不同的语言改变汽车上的轮胎
8MXbOfLTnXg_000089_000099#enc2zh#3 该男子正在改变车库中车辆的轮胎
8MXbOfLTnXg_000089_000099#enc2zh#4 一个男人使用工具从汽车中移除轮胎
8MXbOfLTnXg_000089_000099#enc2zh#5 一个男人从汽车中移除一个轮子，然后投入一个新的车轮
8MXbOfLTnXg_000089_000099#enc2zh#6 一个男人在车辆上改变轮胎的演示和叙事
8MXbOfLTnXg_000089_000099#enc2zh#7 一个男人在他面前的轮胎上工作
8MXbOfLTnXg_000089_000099#enc2zh#8 一个人把轮胎从车里拿走然后去了另一个轮胎
8MXbOfLTnXg_000089_000099#enc2zh#9 一个男人在外语发生叙述时改变轮胎
D2za2DxJ1iw_000047_000057#enc2zh#0 两只天空潜水员在一起看见Skydiving，因为他们的降落伞打开了
D2za2DxJ1iw_000047_000057#enc2zh#1 在空中飞行时，两个人做降落伞跳跃
D2za2DxJ1iw_000047_000057#enc2zh#2 两个人显示串联风格从空中落下带伞
D2za2DxJ1iw_000047_000057#enc2zh#3 两个人在一个大岩石地区一起跳伞
D2za2DxJ1iw_000047_000057#enc2zh#4 两个人在串联中跳伞，其中一个跳伞拉着降落伞
D2za2DxJ1iw_000047_000057#enc2zh#5 两个男人是天空潜水，并开始打开他们的斜槽
D2za2DxJ1iw_000047_000057#enc2zh#6 跳伞运动员在雪上覆盖的山上秋天秋天落下了秋天的天空
D2za2DxJ1iw_000047_000057#enc2zh#7 音乐演奏是一双跳伞运动员在空中，然后他们的降落伞部署
D2za2DxJ1iw_000047_000057#enc2zh#8 天空潜水教练在绑在一起的时，在中间空中拉动降落伞
D2za2DxJ1iw_000047_000057#enc2zh#9 一个人串联跳伞的镜头成功部署了他们的降落伞
5l3BMPLhHdw_000045_000055#enc2zh#0 一个男孩用他的腿抬起球，一边走在一个男人拿着球后
5l3BMPLhHdw_000045_000055#enc2zh#1 两个男孩在院子里玩足球
5l3BMPLhHdw_000045_000055#enc2zh#2 两个年轻男孩正在用足球和他们的脚做足球技巧，然后一个男孩走开
5l3BMPLhHdw_000045_000055#enc2zh#3 两个男孩在象草的后院使用足球球
5l3BMPLhHdw_000045_000055#enc2zh#4 两个男孩正在玩足球并将它们踢到空中
5l3BMPLhHdw_000045_000055#enc2zh#5 两个男孩正在展示足球动作并要求订阅
5l3BMPLhHdw_000045_000055#enc2zh#6 两个男孩在足球制服杂耍足球球，其中一个人解释了足球
5l3BMPLhHdw_000045_000055#enc2zh#7 后院的两个男孩正在展示如何兼顾足球球
5l3BMPLhHdw_000045_000055#enc2zh#8 年轻的男孩在院子里，因为他们在其中一个男孩们谈论足球之前，他们用脚跳动球
5l3BMPLhHdw_000045_000055#enc2zh#9 户外两个年轻男孩每次玩他们自己的足球
tvkZCFum4lw_000008_000018#enc2zh#0 一个男人坐在电脑上播放空气鼓到音乐
tvkZCFum4lw_000008_000018#enc2zh#1 在一个人的办公室卧室坐在椅子上，同时拍手
tvkZCFum4lw_000008_000018#enc2zh#2 一个男人在他的办公桌跳舞
tvkZCFum4lw_000008_000018#enc2zh#3 办公室里的一个男人回应了来自他的电脑显示器的声音等音乐
tvkZCFum4lw_000008_000018#enc2zh#4 他办公桌的男人气鼓比走开
tvkZCFum4lw_000008_000018#enc2zh#5 一个男人在他的办公室里，对某事感到兴奋
tvkZCFum4lw_000008_000018#enc2zh#6 一个人正在和某人交谈并从系统中脱离他的椅子来起床
tvkZCFum4lw_000008_000018#enc2zh#7 一名男子用手坐在电脑姿势前，然后笑起来
tvkZCFum4lw_000008_000018#enc2zh#8 工作台的男人正在打气鼓
tvkZCFum4lw_000008_000018#enc2zh#9 坐在小隔间桌子上的一个男人让手势面向电脑显示器然后站起来
T-VUucsteHE_000114_000124#enc2zh#0 一个男人正在用嘴巴制作哔哔音乐，同时拿着麦克风和一群人欢呼
T-VUucsteHE_000114_000124#enc2zh#1 一个年轻人使用麦克风和他的嘴来创造音乐，而另外两个年轻人在舞台上等待
T-VUucsteHE_000114_000124#enc2zh#2 使用嘴巴击败拳击阶段的一些男人
T-VUucsteHE_000114_000124#enc2zh#3 一个男孩，带向后帽子在舞台上击败麦克风的盒子
T-VUucsteHE_000114_000124#enc2zh#4 两名年轻人正在在才能展会上表演一个说唱音乐行为
