7CN3ENwfMBE_000096_000106#zh#0 一个穿着黑色衣服的人和另一个拿着纸在说话。
qmP9d61ghDg_000001_000011#zh#9 一名男子从跳水板跳进一个大型的L形游泳池。
m3heJvUDLnM_000000_000010#zh#0 一个身穿黑色衣服绿色鞋子的长头发女人在房间里蹦跶运动。
m3heJvUDLnM_000000_000010#zh#1 一个穿着黑色背心的女人在瑜伽房里面蹦跶。
m3heJvUDLnM_000000_000010#zh#2 一个穿着黑色衣服的女人正在做运动。
m3heJvUDLnM_000000_000010#zh#3 一个穿黑色衣服的黑发女子正挥动自己的双手原地跳着。
m3heJvUDLnM_000000_000010#zh#4 一个穿着黑色吊带黑色裤子的女人正在健身。
m3heJvUDLnM_000000_000010#zh#5 一个女孩在有健身和其他健身器材的地方上下跳动。
m3heJvUDLnM_000000_000010#zh#6 一位女士在家中的健身区做跳跃运动。
m3heJvUDLnM_000000_000010#zh#7 一个穿着黑色衣服的女人正在室内进行健身运动。
m3heJvUDLnM_000000_000010#zh#8 在一个房间里，一个女人正在做一些跳跃式的运动。
m3heJvUDLnM_000000_000010#zh#9 一个穿着黑色衣服的妇女在家庭健身房做跳舞。
PDIU0GWWsxU_000000_000010#zh#0 一个穿着紫色衣服的女人，手举了一下手中的写着字的牌子，放下后做起了运动。
PDIU0GWWsxU_000000_000010#zh#1 一位女士在室内认真地做健身跳跃运动。
PDIU0GWWsxU_000000_000010#zh#2 一个穿紫色背心、黑色运动裤的女人正在做健身动作。
PDIU0GWWsxU_000000_000010#zh#3 一个女人拿着一张写有数字的纸放下并且跳舞。
PDIU0GWWsxU_000000_000010#zh#4 在一个房间里，一个女孩儿拿着一个纸牌子，上面写着350，然后放下牌子开始跳跃运动。
PDIU0GWWsxU_000000_000010#zh#5 一个非常有魅力的年轻女子在接受350个跳跃千斤顶的挑战时, 以快速的速度做出了决定。
PDIU0GWWsxU_000000_000010#zh#6 一名年轻女子举起一张纸然后将纸放到了旁边开始做运动。
PDIU0GWWsxU_000000_000010#zh#7 一个女人在厨房里，在举起一个350度的标志牌之后，做着跳跃的运动。
PDIU0GWWsxU_000000_000010#zh#8 一个穿着黑色裤子的女人在室内做广播体操。
PDIU0GWWsxU_000000_000010#zh#9 一位女士正在做跳跳舞，而背景中的男士正在和她说话。
9HdoGfjzCzU_000053_000063#zh#0 一个穿黑色衣服的女子一边在数数，一边在做跳跃运动。
9HdoGfjzCzU_000053_000063#zh#1 一个穿着黑色衣服的女子正在做运动，嘴里还数着数。
9HdoGfjzCzU_000053_000063#zh#2 一个穿着无袖黑衣服的女子在运动。
9HdoGfjzCzU_000053_000063#zh#3 一个穿着深颜色衣服的人在上下跳着。
9HdoGfjzCzU_000053_000063#zh#4 一个女人穿着很少的衣服在做操，嘴里还数着数。
9HdoGfjzCzU_000053_000063#zh#5 一名身穿黑色上衣的女人正在跳着舞蹈。
9HdoGfjzCzU_000053_000063#zh#6 一个女人正在阳台上做一些跳跃的运动。
9HdoGfjzCzU_000053_000063#zh#7 一个女人在阳台上连续的做着健美操。
9HdoGfjzCzU_000053_000063#zh#8 一个穿黑色衣服的女人在海边的风景面前跳跃。
9HdoGfjzCzU_000053_000063#zh#9 一个女人在户外做跳跃运动并且在她做的时候数着数。
n57inpzy9P4_000133_000143#zh#0 在一个明亮的舞蹈室，一个人在跳舞。
n57inpzy9P4_000133_000143#zh#1 一个人跟着音乐节奏跳舞，旁边有很多人观看。
n57inpzy9P4_000133_000143#zh#2 练习室里，一个人正在跳动作激烈舞蹈。
n57inpzy9P4_000133_000143#zh#3 一个人正在镜子前跳舞，旁边还站着很多人。
n57inpzy9P4_000133_000143#zh#4 健身室的镜子前一个人在有节奏的蹦跳，旁边有人在站着观看。
n57inpzy9P4_000133_000143#zh#5 一个人在一个大镜子面前迅速跳跃着，而其他人则在旁观。
n57inpzy9P4_000133_000143#zh#6 一个人在随着音乐的节奏跳舞。
n57inpzy9P4_000133_000143#zh#7 一个人在一个房间跳舞他的前面有跟多镜子，而其他人观察它。
n57inpzy9P4_000133_000143#zh#8 一个穿着黑色裤子的男人在一个场地跳着舞。
n57inpzy9P4_000133_000143#zh#9 一个男人通过在背景音乐中来回跳来跳去的跳舞。
gXePY8Lkiw4_000040_000050#zh#0 一个穿着白色裤子的男人在草地上跳舞。一个穿着白色上衣的人在跳舞。
gXePY8Lkiw4_000040_000050#zh#1 一个穿着短头发的男人在不同的场合跳舞。
gXePY8Lkiw4_000040_000050#zh#2 两个男子在不同的场地上表演跳舞。
gXePY8Lkiw4_000040_000050#zh#3 一个穿黑色上衣的男子正在草地上跳舞。
gXePY8Lkiw4_000040_000050#zh#4 一个穿着绿色衣服的人正在草地上跳舞。
gXePY8Lkiw4_000040_000050#zh#5 两个男人在户外跳舞, 背景的时间是在白天。
gXePY8Lkiw4_000040_000050#zh#6 在户外的草坪上面，一个男子正在不停的跳舞，然后又在街头上面跳舞。
gXePY8Lkiw4_000040_000050#zh#7 一个男人在外面的两个美丽的地方疯狂地跳舞。
gXePY8Lkiw4_000040_000050#zh#8 一名男子站在一片草地上, 用身体进行跳跃和运动练习。
gXePY8Lkiw4_000040_000050#zh#9 一个男人正在一些草地上跟着音乐跳舞，随后一人在一个看起来像屋顶的地方跳舞。
I4y5UwvqaqI_000011_000021#zh#0 一名男子在空地上转着圈跳舞，后面有旗杆。
I4y5UwvqaqI_000011_000021#zh#1 一个人在一片空地上跟着音乐跳舞。
I4y5UwvqaqI_000011_000021#zh#2 一个男人在空地上不停转圈抬腿跳舞。
I4y5UwvqaqI_000011_000021#zh#3 一个穿着黑色衣服黑色裤子的人正在跳舞。
I4y5UwvqaqI_000011_000021#zh#4 室外有一个身穿黑色外衣的男人正在旋转身体踢腿。
I4y5UwvqaqI_000011_000021#zh#5 一个人正在砖砌的地面上转圈舞动。
I4y5UwvqaqI_000011_000021#zh#6 一个男人在公园里跳一段活跃的舞蹈。
I4y5UwvqaqI_000011_000021#zh#7 一个男人在公园随着愉道的波乐卡音乐跳起了舞蹈。
I4y5UwvqaqI_000011_000021#zh#8 一个穿着黑色上衣的男人在一个场地跳着舞。
I4y5UwvqaqI_000011_000021#zh#9 一个男人在广场上以速度非常快的脚跳舞。
1DSNpTTsJJ4_000006_000016#zh#0 随着音乐的响起，，两个男人在走廊上跳起了舞蹈。
1DSNpTTsJJ4_000006_000016#zh#1 两个小孩跟着音乐做着一些街舞动作。
1DSNpTTsJJ4_000006_000016#zh#2 两个穿着灰色短袖的人正在室内跳舞。
1DSNpTTsJJ4_000006_000016#zh#3 在一个室外，两个人穿着一样的衣服在跳舞。
1DSNpTTsJJ4_000006_000016#zh#4 两个男孩子正在楼梯前面的走廊上跳舞。
1DSNpTTsJJ4_000006_000016#zh#5 在音乐播放的时候，两个人一起随着音乐跳舞。
1DSNpTTsJJ4_000006_000016#zh#6 在一个走廊的空地上面，两个男子正在不停的跳舞。
1DSNpTTsJJ4_000006_000016#zh#7 两个穿着白衬衫的男子在通过台阶在一个区域内进行舞蹈。
1DSNpTTsJJ4_000006_000016#zh#8 两个男孩在室外的走道上进行同步的舞蹈动作。
1DSNpTTsJJ4_000006_000016#zh#9 两个孩子在一起跳舞，当歌声响起时。
hOsqleKwqGo_000065_000075#zh#0 夜晚的户外，一个男人，拿着话筒在唱歌，旁边几个人在观看。
hOsqleKwqGo_000065_000075#zh#1 一个男人正在唱歌，旁边有人在跳舞。
hOsqleKwqGo_000065_000075#zh#2 一名男子在舞台上唱歌，另一名男子从他身后走过。
hOsqleKwqGo_000065_000075#zh#3 一个穿着黑色外套的男人手拿话筒在唱歌，还走过去一个白衣男子。
hOsqleKwqGo_000065_000075#zh#4 在一个夜晚，有一个人在唱歌，还有一些人在跳舞。
hOsqleKwqGo_000065_000075#zh#5 一个男人正对着麦克风唱着歌，后面两个人在跳舞。
hOsqleKwqGo_000065_000075#zh#6 酒吧里的一个男人正在唱卡拉OK，而其他的狂欢者正在跳舞。
hOsqleKwqGo_000065_000075#zh#7 黑天一个人正在人群前面的舞台上唱歌。
hOsqleKwqGo_000065_000075#zh#8 一个穿着黑色上衣的男人拿麦克风上演唱一首歌。
hOsqleKwqGo_000065_000075#zh#9 一个人和许多其他人在一个房间里对着麦克风说话。
UYqORdaaCn4_000011_000021#zh#0 一群人在房间里满面笑容的跟随着音乐扭动着身体。
UYqORdaaCn4_000011_000021#zh#1 两个美女坐在沙发上拿着话筒准备唱歌，旁边一个男子在给她们打拍子并往旁边美女身上蹭。
UYqORdaaCn4_000011_000021#zh#2 一个穿着黑色衣服的女人在一个房间唱歌。
UYqORdaaCn4_000011_000021#zh#3 有一个穿着深色衣服的人在和朋友唱歌。
UYqORdaaCn4_000011_000021#zh#4 在一个房间里，有一些人坐在沙发上，其中两个女人手里拿着麦克风。
UYqORdaaCn4_000011_000021#zh#5 一群人一边笑着一边听音乐，还有一个人拿着麦克风。
UYqORdaaCn4_000011_000021#zh#6 里面有一群人在坐着的时候拍手唱歌。
UYqORdaaCn4_000011_000021#zh#7 人们围坐在电视屏幕旁,音乐播放着, 而女孩拿着一个麦克风。
UYqORdaaCn4_000011_000021#zh#8 一群人在家里跳舞和唱着卡拉 o k。
UYqORdaaCn4_000011_000021#zh#9 音乐在一个房间里播放年轻男女跳舞和笑，一个女人拿着麦克风，好像在唱歌。
xTtSX4fMlgY_000036_000046#zh#0 一个手上戴着戒指的女人正在唱歌。
xTtSX4fMlgY_000036_000046#zh#1 一位女士在周围有人的情况下深情的唱歌。
xTtSX4fMlgY_000036_000046#zh#2 一个女人在喧闹的环境下拿着麦克风在唱歌。
xTtSX4fMlgY_000036_000046#zh#3 一个黑色长发的女子在唱歌，旁边不断有人经过。
xTtSX4fMlgY_000036_000046#zh#4 在昏暗的房间内，一个女人，拿着话筒在唱歌。
xTtSX4fMlgY_000036_000046#zh#5 一个女孩正在卡拉OK酒吧唱歌，她的朋友们为她加油助威。
xTtSX4fMlgY_000036_000046#zh#6 一名女子在酒吧式的环境中唱歌, 有人站在她身后, 坐在酒吧的桌旁。
xTtSX4fMlgY_000036_000046#zh#7 在一次社交聚会上，一名女士正在用麦克风唱的一首歌。
xTtSX4fMlgY_000036_000046#zh#8 一名拿着麦克风的女子在酒吧唱歌。
xTtSX4fMlgY_000036_000046#zh#9 一个女人手里拿着麦克风对着镜头唱歌。
-aQR-rCWaVQ_000016_000026#zh#0 一个穿着条纹衣服的小孩子，在草地上踢着足球。
-aQR-rCWaVQ_000016_000026#zh#1 一个小男孩坐在草地上看着一颗足球，之后站起来踢动了足球。
-aQR-rCWaVQ_000016_000026#zh#2 一个刚会跑的小孩用脚在草坪上踢足球。
-aQR-rCWaVQ_000016_000026#zh#3 一个小孩正坐在草地上，旁边是一个足球，他站起来踢足球。
-aQR-rCWaVQ_000016_000026#zh#4 一个穿着条纹短袖的小男孩在草坪上踢足球。
-aQR-rCWaVQ_000016_000026#zh#5 一位女士让一个小孩子踢球, 他站起来踢了。
-aQR-rCWaVQ_000016_000026#zh#6 一个婴儿从草地上站起来，开始踢足球。
-aQR-rCWaVQ_000016_000026#zh#7 在一个草地上，一个刚刚学会走路的孩子开始踢足球。
-aQR-rCWaVQ_000016_000026#zh#8 一个小婴儿正坐在球附近的地上，开始玩球。
-aQR-rCWaVQ_000016_000026#zh#9 一个小男孩坐在草地上，然后爬起来去踢足球。
xf9k3s5-THA_000000_000010#zh#0 一个人在草坪上奔跑，然后摔倒并滚了几圈。
xf9k3s5-THA_000000_000010#zh#1 一个人在空旷的草地上去踢球不小心摔倒并在地上翻滚。
xf9k3s5-THA_000000_000010#zh#2 一个人在室外的草地上奔跑着从坡上滚了下来。
xf9k3s5-THA_000000_000010#zh#3 一个人快速向前奔跑，然后突然摔倒在地。
xf9k3s5-THA_000000_000010#zh#4 一个人在草坪上玩球，并且摔了下去。
xf9k3s5-THA_000000_000010#zh#5 一个人跑到田里，掉到地上，开始滚下坡。
xf9k3s5-THA_000000_000010#zh#6 一个女孩跑过去踢了一个球，然后跟着球一起滚下山。
xf9k3s5-THA_000000_000010#zh#7 一个女人在草地上奔跑，并从山坡上滚下来。
xf9k3s5-THA_000000_000010#zh#8 一个人穿过一个场地来踢足球，并在踢球时摔倒。
xf9k3s5-THA_000000_000010#zh#9 一个跑过一片草地，踢了一个白色的球，然后摔倒了。
pA4Bh0qvO3w_000001_000011#zh#0 有一个光着脚的小宝宝正在家里客厅踢球。
pA4Bh0qvO3w_000001_000011#zh#1 一个小朋友把球踢到了沙发下，然后走了过来。
pA4Bh0qvO3w_000001_000011#zh#2 一个穿着白色衣服的孩子在房间里踢球。
pA4Bh0qvO3w_000001_000011#zh#3 有一个穿着花色衣服的人在地上踢球。
pA4Bh0qvO3w_000001_000011#zh#4 一个穿白色衣服的孩子在踢着绿色球。
pA4Bh0qvO3w_000001_000011#zh#5 一个红头发的小孩在房间的地毯上踢球，而一个看不见的人在镜头后面称赞他。
pA4Bh0qvO3w_000001_000011#zh#6 一个婴儿在客厅里把一个玩具球踢到了沙发下面。
pA4Bh0qvO3w_000001_000011#zh#7 一个小女孩踢了一个球，然后拍了拍自己的手。
pA4Bh0qvO3w_000001_000011#zh#8 一个刚刚学会走路的孩子把球踢到沙发下面。
pA4Bh0qvO3w_000001_000011#zh#9 一名女子称赞一名幼儿成功将球踢过地板。
Qw-slbWE8Bs_000019_000029#zh#0 一个男人和一个女人在亲吻，男人摸着女人的胸部。
Qw-slbWE8Bs_000019_000029#zh#1 一对男女在深情着接着吻，不知为何男子突然跑开。
Qw-slbWE8Bs_000019_000029#zh#2 一个人和另一个人两人在互相亲吻着对方的嘴唇。
Qw-slbWE8Bs_000019_000029#zh#3 一个男人正和一个女人接吻，男人的手揉捏着一块白色布料。
Qw-slbWE8Bs_000019_000029#zh#4 两个人在互相亲吻，男人起身离开了女人。
Qw-slbWE8Bs_000019_000029#zh#5 看到两个女的同性恋 在接吻 。
Qw-slbWE8Bs_000019_000029#zh#6 两个女人在床上亲热，一个抚摸对方的乳房。
Qw-slbWE8Bs_000019_000029#zh#7 两个人在床上接吻，一个人摸着另一个人的乳房。
Qw-slbWE8Bs_000019_000029#zh#8 一个男人和一个女人正在房间里接吻。
Qw-slbWE8Bs_000019_000029#zh#9 两人在床上接吻，其中他们一人被拉开了。
y95Vcw53JMU_000075_000085#zh#0 一个男人和一个女人在室外亲吻着。
y95Vcw53JMU_000075_000085#zh#1 一个男人和一个女人接吻，男人开始亲吻女人的脖子。
y95Vcw53JMU_000075_000085#zh#2 一对外国情侣在户外进行疯狂的亲吻。
y95Vcw53JMU_000075_000085#zh#3 一个男人和一个女人正在互相亲着对方的脸和嘴。
y95Vcw53JMU_000075_000085#zh#4 一个穿着条形色上衣的人正在亲吻自己的女友。
y95Vcw53JMU_000075_000085#zh#5 一个男人和一个女人非常热情地接吻。
y95Vcw53JMU_000075_000085#zh#6 一个男人和一个女人正在户外接着吻。
y95Vcw53JMU_000075_000085#zh#7 一个男子把手放在一个女人的脖子上亲吻。
y95Vcw53JMU_000075_000085#zh#8 一个男人和一个女人在外面热烈地接吻。
y95Vcw53JMU_000075_000085#zh#9 一对夫妻正在互相拥抱对方，并亲吻对方。
GfMigQqZADw_000037_000047#zh#0 一个男人握着飞行伞的绳子站在冲浪板上冲浪。
GfMigQqZADw_000037_000047#zh#1 一个男人用滑翔伞拉着在海面上冲浪。
GfMigQqZADw_000037_000047#zh#2 一个穿着黑色上衣的男人在海上冲浪。
GfMigQqZADw_000037_000047#zh#3 在一个晴朗的日子，很多人都在海面上冲浪。
GfMigQqZADw_000037_000047#zh#4 一个人被降落伞吊着在水中前进，水里泛起了浪花。
GfMigQqZADw_000037_000047#zh#5 在大海上，一群人在高潮中的风筝玩着冲浪。
GfMigQqZADw_000037_000047#zh#6 一个人正在使用冲浪板快速的在水面上进行冲浪运动。
GfMigQqZADw_000037_000047#zh#7 好多人在波涛汹涌的海面上玩水上冲浪。
GfMigQqZADw_000037_000047#zh#8 很多人在波涛汹涌的海面上练习降落伞冲浪。
GfMigQqZADw_000037_000047#zh#9 各种风帆冲浪者在阴天的时候乘坐帆上附着海浪上。
ks5E1gF2gtc_000370_000380#zh#0 一个男人手拉绳索，在海面上做滑翔运动。
ks5E1gF2gtc_000370_000380#zh#1 一个男人乘着滑浪板在水面上快速运动着。
ks5E1gF2gtc_000370_000380#zh#2 海平面上，一个人踏着移动工具在海平面上熟练的前行。
ks5E1gF2gtc_000370_000380#zh#3 一个穿短裤的男人正在海上冲着浪。
ks5E1gF2gtc_000370_000380#zh#4 大海上，一个踩着水上滑板的人把水面带出一团团浪花。
ks5E1gF2gtc_000370_000380#zh#5 一个人正在风帆冲浪,在他的木板上跳上一大块水。
ks5E1gF2gtc_000370_000380#zh#6 一个男子在海上划着冲浪板，起跳后平稳落入水中。
ks5E1gF2gtc_000370_000380#zh#7 一个人拿着降落伞在水里冲浪并作出一些动作。
ks5E1gF2gtc_000370_000380#zh#8 一个男人正在骑着一个冲浪板和放风筝。
ks5E1gF2gtc_000370_000380#zh#9 一个穿短裤的男子踩着划水板拉着绳子在水里冲浪。
LYOtGZQa7NM_000036_000046#zh#0 在一片大海上，一个穿着黑色衣服的人，在大海上玩着刺激的冲浪板。
LYOtGZQa7NM_000036_000046#zh#1 一个男人手里拉着滑翔伞脚上踏着冲浪板在海边冲浪。
LYOtGZQa7NM_000036_000046#zh#2 一个划水运动员正在划水，空中飞机在拉着他。
LYOtGZQa7NM_000036_000046#zh#3 在广阔的大海上，有一个男人正在海上滑浪。
LYOtGZQa7NM_000036_000046#zh#4 碧蓝色的水面上波浪起伏，一个人抓着一根绳子在水里冲浪，然后离开了水面。
LYOtGZQa7NM_000036_000046#zh#5 一群人在水面上冲浪，然后视频集中在一个风冲浪上，背景是海滩上的人。
LYOtGZQa7NM_000036_000046#zh#6 一群人站在冲浪板上被滑翔翼拉着冲浪。
LYOtGZQa7NM_000036_000046#zh#7 一名男子正在海滩附近的海洋冲浪，他使用降落伞将自己从水中拉出来。
LYOtGZQa7NM_000036_000046#zh#8 在晴朗的日子里, 一名男子水面上冲浪。
LYOtGZQa7NM_000036_000046#zh#9 一个人在海上使用降落伞在非常高的高度冲浪。
OnfgY84e8DE_000111_000121#zh#0 一个人正在用粉红色的毛线在织工艺品。
OnfgY84e8DE_000111_000121#zh#1 一个女人手拿针线，细心地编织针织工艺品。
OnfgY84e8DE_000111_000121#zh#2 女子用四支毛衣针一条毛线教如何编织衣物。
OnfgY84e8DE_000111_000121#zh#3 一个人用几根针在钩织着花纹，下方铺了一块花布。
OnfgY84e8DE_000111_000121#zh#4 一个人在用四支毛衣针织着粉色的东西。
OnfgY84e8DE_000111_000121#zh#5 一个女人拿着针和纱线, 她在演示如何编织。
OnfgY84e8DE_000111_000121#zh#6 一个女人正在示范如何正确的使用针线编织物品。
OnfgY84e8DE_000111_000121#zh#7 一个女人说话的同时她用针头和纱线钩针。
OnfgY84e8DE_000111_000121#zh#8 一位女士正在使用线和大针织着什么。
OnfgY84e8DE_000111_000121#zh#9 一个妇女在编织一个关于如何穿针引线的教程。
GTr3wXCclpM_000040_000050#zh#0 一个长头发的男人在音乐下跳舞，旁边有一群人在围观。
GTr3wXCclpM_000040_000050#zh#1 一群人在房间里围着一个长头发正在跳舞的男人。
GTr3wXCclpM_000040_000050#zh#2 一个穿着黑色长裤的男子在室内跳舞。
GTr3wXCclpM_000040_000050#zh#3 一个穿着深色衣服的人正在屋里跳舞。
GTr3wXCclpM_000040_000050#zh#4 一个扎着小辫的男人在跳着街舞，旁边有几个人在观看。
GTr3wXCclpM_000040_000050#zh#5 一个年轻人随着音乐翩翩起舞，几个年轻人在旁边看着。
GTr3wXCclpM_000040_000050#zh#6 当别人站在周围看着他时, 一个男人在跳舞。
GTr3wXCclpM_000040_000050#zh#7 一个长头发的男人在跳舞，很多人在观看。
GTr3wXCclpM_000040_000050#zh#8 一个穿着黑色裤子的男子在室内表演着舞蹈。
GTr3wXCclpM_000040_000050#zh#9 一个人在一群人的周围随着音乐跳舞。
6c8qLU5g88Y_000057_000067#zh#0 一个带着白色帽子的人听着音乐跳着街舞，旁边的人看着欢呼。
6c8qLU5g88Y_000057_000067#zh#1 一群年轻人在音乐的伴奏中互相斗舞。
6c8qLU5g88Y_000057_000067#zh#2 一个戴着帽子穿着短袖的女人在跳舞，旁边一群人在看着。
6c8qLU5g88Y_000057_000067#zh#3 一个戴着白色帽子穿着黑色上衣的女人在表演跳舞。
6c8qLU5g88Y_000057_000067#zh#4 一个人正在随着音乐节拍跳着舞，同时周围有很多人在围观。
6c8qLU5g88Y_000057_000067#zh#5 一群人站在舞台上进行一场舞蹈比赛。
6c8qLU5g88Y_000057_000067#zh#6 一个女孩站在一群男子的中间表演舞蹈。
6c8qLU5g88Y_000057_000067#zh#7 一名年轻男子正在一群其他年轻人面前霹雳舞。
6c8qLU5g88Y_000057_000067#zh#8 一群年轻男子跟着一个年轻人一起随着音乐跳舞。
6c8qLU5g88Y_000057_000067#zh#9 室内一群人正在围观一个穿黑色衣服的人跳舞。
x5jhu1V9Bb0_000018_000028#zh#0 一个穿着黑色衣服的男子在跟随着音乐跳舞。
x5jhu1V9Bb0_000018_000028#zh#1 在一个房间里有一个穿着黑色上衣的男人在跳舞。
x5jhu1V9Bb0_000018_000028#zh#2 一个皮肤很黑男人在一家店门口跳着舞。
x5jhu1V9Bb0_000018_000028#zh#3 一个穿着黑色衣服的男子在跳着街舞。
x5jhu1V9Bb0_000018_000028#zh#4 一个灰色衣服黑色裤子的非洲男人，在一座房子外面跳舞。
x5jhu1V9Bb0_000018_000028#zh#5 一个男人在街上跳舞，旁边有几个人在观看。
x5jhu1V9Bb0_000018_000028#zh#6 一个舞者站在中间来回摆动做出奇怪的手势和动作。
x5jhu1V9Bb0_000018_000028#zh#7 一个男人在一个商店门口跳舞，而其他人则在旁边观看。
x5jhu1V9Bb0_000018_000028#zh#8 一个黑人在夜总会里面随着音乐跳舞。
x5jhu1V9Bb0_000018_000028#zh#9 一个穿着背心的男人在一个俱乐部外表演各种舞步。
NIcGdP4XUkA_000002_000012#zh#0 一个戴着头盔的女子和一个男子开着小车在沙地上行驶。
NIcGdP4XUkA_000002_000012#zh#1 在宽阔的场地上，一个女子正在开车，时不时地与旁边的人进行交谈。
NIcGdP4XUkA_000002_000012#zh#2 一个女人开着车带着一个男人在空地上兜风。
NIcGdP4XUkA_000002_000012#zh#3 两个戴着头盔的人在沙漠里开着车。
NIcGdP4XUkA_000002_000012#zh#4 两个人坐在车上，一个女的一边开车，一边说着。
NIcGdP4XUkA_000002_000012#zh#5 一个男人在拍摄他和女人骑着车在沙地奔跑。
NIcGdP4XUkA_000002_000012#zh#6 两个人带着头盔，然后女人正在驾驶车辆。
NIcGdP4XUkA_000002_000012#zh#7 一个男人和一个女人海滩上玩陆地帆船。
NIcGdP4XUkA_000002_000012#zh#8 一位妇女坐在手推车里，准备沿着沙漠表面移动。
NIcGdP4XUkA_000002_000012#zh#9 一名戴着头盔的女子乘坐车辆出行, 与旁边的一名男子交谈。
LCGFsUHuyEM_000001_000011#zh#0 一个人在雪山上开着滑雪车慢慢滑行。
LCGFsUHuyEM_000001_000011#zh#1 一个人坐在一个交通工具里在雪地上向前滑行。
LCGFsUHuyEM_000001_000011#zh#2 一个穿着橙色衣服的人在雪地里开飞机。
LCGFsUHuyEM_000001_000011#zh#3 一个人在滑雪场里开着滑雪车前行。
LCGFsUHuyEM_000001_000011#zh#4 有一个穿着深色衣服的人正在飞机上。
LCGFsUHuyEM_000001_000011#zh#5 乘坐在单人帆和单座滑雪撬的人在雪地上来回穿梭。
LCGFsUHuyEM_000001_000011#zh#6 一个人乘坐的车辆上, 帆无声地滑过冰冷的风景表面。
LCGFsUHuyEM_000001_000011#zh#7 一个人正在雪地上用雪地飞机滑雪。
LCGFsUHuyEM_000001_000011#zh#8 一名男子驾驶一辆雪地车在雪地上缓缓行驶。
LCGFsUHuyEM_000001_000011#zh#9 一个人驾驶着一个雪橇在雪地里滑行。
df_11GuSM84_000029_000039#zh#0 一个身穿白色衣服的小孩子躺在床上笑。
df_11GuSM84_000029_000039#zh#1 一个婴儿在嬉戏，大人在一旁逗着。
df_11GuSM84_000029_000039#zh#2 一个小男孩躺在床上，正在哈哈大笑。
df_11GuSM84_000029_000039#zh#3 一个小孩躺在床上，用嘴巴发出噗嗤的声音。
df_11GuSM84_000029_000039#zh#4 一个穿着白色短袖的小孩躺着在不停的笑。
df_11GuSM84_000029_000039#zh#5 在一个房间里面，一个小孩躺着床上不停的笑着。
df_11GuSM84_000029_000039#zh#6 一个躺着的小孩正在大笑，然后吐了一口痰后又笑了起来，有个女子在讲话。
df_11GuSM84_000029_000039#zh#7 一个孩子和妈妈在房间里玩的时候在笑。
df_11GuSM84_000029_000039#zh#8 一个孩子在躺在床上时笑着咯咯地笑。
df_11GuSM84_000029_000039#zh#9 一个穿白色衣服的小孩儿躺在床上不停地笑着。
nR6BuFBfiCc_000129_000139#zh#0 两个没有穿衣服的宝宝，在浴缸里玩着玩具，开心地笑着。
nR6BuFBfiCc_000129_000139#zh#1 两个小孩在装着水的浴缸里拿着玩具微笑的玩耍。
nR6BuFBfiCc_000129_000139#zh#2 两个小宝宝在浴缸里洗澡，玩着玩具，说笑嬉戏。
nR6BuFBfiCc_000129_000139#zh#3 两个小宝宝在一个浴缸里玩耍着并笑着。
nR6BuFBfiCc_000129_000139#zh#4 两各光着身子的小宝宝正在浴池里洗澡玩玩具。
nR6BuFBfiCc_000129_000139#zh#5 两个小孩子坐在浴缸里玩着玩具，一起笑着。
nR6BuFBfiCc_000129_000139#zh#6 两个孩子正在洗澡，正在水里逗互相笑。
nR6BuFBfiCc_000129_000139#zh#7 浴缸里面二个小孩子互相嬉戏着，互相笑着。
nR6BuFBfiCc_000129_000139#zh#8 两个婴儿一起坐在浴缸里，互相嬉戏笑个不停。
nR6BuFBfiCc_000129_000139#zh#9 两个婴儿一起在浴缸里，玩着玩具嬉笑着。
bEN-M8LaxN4_000051_000061#zh#0 一个小孩子躺在床上张开嘴哈哈大笑。
bEN-M8LaxN4_000051_000061#zh#1 一个穿着蓝色衣服的婴儿正在放声大笑。
bEN-M8LaxN4_000051_000061#zh#2 一个身穿蓝色上衣的小婴儿在床上笑着。
bEN-M8LaxN4_000051_000061#zh#3 明亮的房间内，一个小孩，躺在床上玩耍。
bEN-M8LaxN4_000051_000061#zh#4 一个穿着蓝色衣服的小孩正在大声的笑。
bEN-M8LaxN4_000051_000061#zh#5 一个婴儿正躺着，看着一个女人对他发出了声音，他大笑了起来。
bEN-M8LaxN4_000051_000061#zh#6 一个穿着蓝色 t恤的小婴儿, 印着 n f l 的图案, 和一个和他一起玩的人在笑。
bEN-M8LaxN4_000051_000061#zh#7 一个婴儿听着屏幕上女人的声音一遍一遍的大笑。
bEN-M8LaxN4_000051_000061#zh#8 一个可爱婴儿躺在毯子上微笑着。
bEN-M8LaxN4_000051_000061#zh#9 一个小男孩在他的妈妈向他做鬼脸和声音时笑了起来。
O2atl6wQzDE_000171_000181#zh#0 白天的户外，一个人，开着卡丁车，在跑道上行驶，旁边一些人在观看。
O2atl6wQzDE_000171_000181#zh#1 在一个跑道上很多车在比赛，一个人站在跑道边缘挥舞着旗子。
O2atl6wQzDE_000171_000181#zh#2 一个身穿白色上衣的男子在户外的场地上围观塞车比赛。
O2atl6wQzDE_000171_000181#zh#3 赛道上有几辆车子在飞快的行驶一旁裁判也很认真。
O2atl6wQzDE_000171_000181#zh#4 赛车手们开着赛车在赛道上飞速的行驶。
O2atl6wQzDE_000171_000181#zh#5 有几个人正在参加一个四轮自行车比赛。
O2atl6wQzDE_000171_000181#zh#6 有几辆卡丁车正在赛道上赛跑,一位男子正在挥舞着格子旗。
