G9zN5TTuGO4_000179_000189#zh#0 在野外，一个人正在悬吊在冰地里面进行作业。
ofhjWgPguFI_000002_000012#zh#8 表演者在观众面前同时在表演玩滑板和杂耍。
ofhjWgPguFI_000002_000012#zh#9 外面有一群人正在看着一个家伙变戏法，做一些小把戏。
c68Z9cjgVsk_000267_000277#zh#0 一个穿黄色衣服的小男孩在室外聚精会神的颠球。
c68Z9cjgVsk_000267_000277#zh#1 一个外国小男孩正在练习用左右脚踢球。
c68Z9cjgVsk_000267_000277#zh#2 在院子里，一个穿黄色衣服的小男孩在练习踢球。
c68Z9cjgVsk_000267_000277#zh#3 一个穿着黄色衣服的男子在草坪上面踢足球。
c68Z9cjgVsk_000267_000277#zh#4 一个小男孩正在室外用脚在颠着足球。
c68Z9cjgVsk_000267_000277#zh#5 一个身穿黄色衣服的小男孩正在用他的双腿颠球。
c68Z9cjgVsk_000267_000277#zh#6 一个男孩在户外玩颠球，一直没让球落地。
c68Z9cjgVsk_000267_000277#zh#7 操场上一个男孩展示了他的交替脚球杂耍技巧。
c68Z9cjgVsk_000267_000277#zh#8 在公园里，一个男孩在他的两只脚之间玩杂耍足球。
c68Z9cjgVsk_000267_000277#zh#9 一个男孩在室外正在用双腿来回交替踢足球。
AHXpkJSLqg4_000460_000470#zh#0 一个穿着红色衣服的人，在一片草地上颠球。
AHXpkJSLqg4_000460_000470#zh#1 一个身着红色运动衣，白色短裤的男子展示踢球技术。
AHXpkJSLqg4_000460_000470#zh#2 一个男人在一块儿草坪上熟练地用脚颠着足球。
AHXpkJSLqg4_000460_000470#zh#3 一个红色衣服的人在一个草地上用脚踢着足球。
AHXpkJSLqg4_000460_000470#zh#4 一红衣男子用脚不停的踢动着足球。
AHXpkJSLqg4_000460_000470#zh#5 一个男人正在外面的旷野里练习足球技巧。
AHXpkJSLqg4_000460_000470#zh#6 一个十几岁的男孩正在外面用脚和足球玩耍。
AHXpkJSLqg4_000460_000470#zh#7 一个穿红色衣服的小孩站在草地上踢足球。
AHXpkJSLqg4_000460_000470#zh#8 一个穿着红色衣服的男孩正在一个草坪上玩着球。
AHXpkJSLqg4_000460_000470#zh#9 一名男子在室外的草地上独自踢足球。
LCdm6pFrmtw_000015_000025#zh#0 一个穿着红色短袖的人在骑自行车。
LCdm6pFrmtw_000015_000025#zh#1 一个人骑着自行车在沙坡上行驶着。
LCdm6pFrmtw_000015_000025#zh#2 在一片空地上，一个穿着红色衣服的人正从一个土坡上骑下自行车。
LCdm6pFrmtw_000015_000025#zh#3 一个穿着深色衣服的人正在骑自行车。
LCdm6pFrmtw_000015_000025#zh#4 在一个阳光明媚的天气，有一个戴着帽子的人正在骑自行车。
LCdm6pFrmtw_000015_000025#zh#5 一个人骑自行车在一个大土山上上上下下。
LCdm6pFrmtw_000015_000025#zh#6 一个人骑着自行车从坡上冲下来，又上去了一个土坡，然后滑下来。
LCdm6pFrmtw_000015_000025#zh#7 一个人从树林里骑车出来，下一个斜坡然后上去，然后在下个斜坡滑行一段距离。
LCdm6pFrmtw_000015_000025#zh#8 一个穿着红色上衣的男人在山地里骑着自行车。
LCdm6pFrmtw_000015_000025#zh#9 一个穿着红衣服的男人骑着自行车从一个山坡冲到另一个山坡。
nTK7fjMfbSA_000002_000012#zh#0 一个人骑着自行车从高处落向低处，摔倒在地面上。
nTK7fjMfbSA_000002_000012#zh#1 一个男人骑着自行车从山坡飞下来，半路摔倒了。
nTK7fjMfbSA_000002_000012#zh#2 一个穿着黑色上衣的人骑着车子从坡上摔下。
nTK7fjMfbSA_000002_000012#zh#3 在一个户外的山上，一个男孩骑着自行车在山上冲下来。
nTK7fjMfbSA_000002_000012#zh#4 白天的户外，一个男人，骑着自行车，然后摔了下来。
nTK7fjMfbSA_000002_000012#zh#5 一个人骑着自行车跳着, 然后摔倒了。
nTK7fjMfbSA_000002_000012#zh#6 一个男孩骑着自行车从山坡上冲下，然后他摔倒了。
nTK7fjMfbSA_000002_000012#zh#7 一个男人试图在自行车上做技巧，但是最终还是失败摔倒了。
nTK7fjMfbSA_000002_000012#zh#8 一个骑自行车的人滑下陡峭的山坡，摔倒在山坡上。
nTK7fjMfbSA_000002_000012#zh#9 一个年轻人骑着车飞跃起来，失去了控制并摔了下来。
xaddtCnpkTI_000001_000011#zh#0 一个男人骑着一辆自行车上坡，接着向前溜了一段。
xaddtCnpkTI_000001_000011#zh#1 一个穿无袖上衣的男人，骑着自行车成功上了滑坡。
xaddtCnpkTI_000001_000011#zh#2 一个男子骑车从木板上飞过并且安全落地。
xaddtCnpkTI_000001_000011#zh#3 白天的户外，一个男人，骑着车子，在道路上行驶。
xaddtCnpkTI_000001_000011#zh#4 一个男孩儿骑着单车，通过一块儿向上的板子腾空而起。
xaddtCnpkTI_000001_000011#zh#5 一个男孩骑着自行车，从斜坡上跳跃下来。
xaddtCnpkTI_000001_000011#zh#6 一名男子骑着一辆自行车越过一块木板斜坡，然后离开。
xaddtCnpkTI_000001_000011#zh#7 一个男人骑着自行车在一个斜坡上一跳而过。
xaddtCnpkTI_000001_000011#zh#8 一个人骑着自行车从斜坡上上去成功度过障碍物。
xaddtCnpkTI_000001_000011#zh#9 一个骑自行车的男子把自己指向跳车区,并且成功地把它做成了一个没有摔倒的滑板。
9wXgbdeeS1w_000000_000010#zh#0 一位小朋友带着游泳镜站在游泳池边往里面跳下去。
9wXgbdeeS1w_000000_000010#zh#1 在一个游泳池边上，一个戴墨镜的女孩子跳进了水里。
9wXgbdeeS1w_000000_000010#zh#2 一个戴着眼镜的小女孩跳进了游泳池里。
9wXgbdeeS1w_000000_000010#zh#3 一个穿着浅色衣服的人跳入了水中。
9wXgbdeeS1w_000000_000010#zh#4 一个穿着黑色衣服的小孩从岸上调到水里。
9wXgbdeeS1w_000000_000010#zh#5 一个戴着游泳眼镜的小女孩跳进了游泳池。
9wXgbdeeS1w_000000_000010#zh#6 一个戴着护目镜的小女孩以慢动作跳入游泳池。
9wXgbdeeS1w_000000_000010#zh#7 一个小女孩戴着护目镜，然后跳进游泳池。
9wXgbdeeS1w_000000_000010#zh#8 一个穿红色衣服的小女孩以慢动作跳入游泳池。
9wXgbdeeS1w_000000_000010#zh#9 一个穿着粉色衣服的女孩跳进了水里。
6oxymlT4EU8_000000_000010#zh#0 一个男人在游泳池游泳，他把岸上的小男孩也拉下了水。
6oxymlT4EU8_000000_000010#zh#1 一个男人在泳池里鼓励着池边的小男孩勇敢的跳下去，随后男人抓住小孩的手将小孩拖进了泳池。
6oxymlT4EU8_000000_000010#zh#2 一个人在泳池里吧一个在泳池上面光着上身的小孩抱了下来。
6oxymlT4EU8_000000_000010#zh#3 一个男人带着一个小孩在水上教他玩耍。
6oxymlT4EU8_000000_000010#zh#4 一名没穿上衣的男子和一名男孩，正在游泳池里玩耍。
6oxymlT4EU8_000000_000010#zh#5 一名男子鼓励一个孩子跳到游泳池里, 最后孩子被说服跳了进去。
6oxymlT4EU8_000000_000010#zh#6 一个男孩蹲在泳池边，一个人在游泳池里漂浮，一个男人站在游泳池里和男孩聊天，然后把男孩拉到游泳池里。
6oxymlT4EU8_000000_000010#zh#7 一个男人在游泳池边鼓励一个边缘的小男孩跳水。
6oxymlT4EU8_000000_000010#zh#8 一个小男孩要跳入游泳池，一个男子接住他。
6oxymlT4EU8_000000_000010#zh#9 一个男人在游泳池，一个小孩跳到了旁边。
YLqQSpRH09o_000002_000012#zh#0 一个小男孩从高处跳到水中，他的妈妈在水中接他，并将他举起。
YLqQSpRH09o_000002_000012#zh#1 室外游泳池里，一个戴着墨镜的男人将一个正在游泳的小女孩抱了起来。
YLqQSpRH09o_000002_000012#zh#2 一个成年女的在水池里带着自己的孩子学习游泳。
YLqQSpRH09o_000002_000012#zh#3 一个小孩从高处跳下落入水中被一个女人从水中举了起来。
YLqQSpRH09o_000002_000012#zh#4 一个孩子跳进游泳池，泳池里的大人抱住了小孩。
YLqQSpRH09o_000002_000012#zh#5 一个女孩跳进了游泳池，她妈妈在那里等她。
YLqQSpRH09o_000002_000012#zh#6 一个小孩子跳进一个室外游泳池，在水中向妈妈走去。
YLqQSpRH09o_000002_000012#zh#7 一个小孩从台上掉进游泳池里, 水里的一位女士把她抱到游泳池边。
YLqQSpRH09o_000002_000012#zh#8 一个女人在游泳池里，当一个小孩子跳进游泳池的时候。
YLqQSpRH09o_000002_000012#zh#9 一个成年人拿着浮选装置站在水中, 旁边一个孩子从墙上跳入水池里。
RNA_wIhYPp8_000047_000057#zh#0 一个穿蓝色衣服、黑色裤子的女人跳进了泳池。
RNA_wIhYPp8_000047_000057#zh#1 一胖女人一跃跳进了游泳池，旁边几个男士在欢呼着。
RNA_wIhYPp8_000047_000057#zh#2 一个女子快速的转身用翻转的方式跳进了水中。
RNA_wIhYPp8_000047_000057#zh#3 一个穿着蓝色上衣的外国女人从平地上跳入水池中。
RNA_wIhYPp8_000047_000057#zh#4 一个女人在空中旋转后跳入泳池里。
RNA_wIhYPp8_000047_000057#zh#5 一个浑身湿透的女人在一片欢呼声中跳进了水里。
RNA_wIhYPp8_000047_000057#zh#6 一个穿着蓝色衣服的女人旋转着跳进了水池。
RNA_wIhYPp8_000047_000057#zh#7 一个女人在游泳池旁边并跳了下去。
RNA_wIhYPp8_000047_000057#zh#8 一个女人穿着普通的衣服跳入一个相当冷的水池里。
RNA_wIhYPp8_000047_000057#zh#9 一个女人在别人鼓励她的时候向后跳入游泳池，。
5F4jp64eh1w_000000_000010#zh#0 一个女人在做纵跳和俯卧撑，一个男孩在旁边运动。
5F4jp64eh1w_000000_000010#zh#1 一个穿着蓝色衣服的小男孩在户外跳动，旁边一个穿着蓝色衣服的女人在重复举手跳然后进行俯卧撑的动作。
5F4jp64eh1w_000000_000010#zh#2 两个男孩在一棵倒下的树面前，一个蹦，一个做俯卧撑。
5F4jp64eh1w_000000_000010#zh#3 两个身穿深色衣服头戴帽子的人在户外的草地上跳跃。
5F4jp64eh1w_000000_000010#zh#4 一个人在做跳跃运动，一个人跳一下做一个俯卧撑。
5F4jp64eh1w_000000_000010#zh#5 两个年轻人在一个树林里做跳板和俯卧撑，一个男人催促他们。
5F4jp64eh1w_000000_000010#zh#6 一个女人和一个孩子在倒下的树旁边做户外运动。
5F4jp64eh1w_000000_000010#zh#7 有两个年轻人正在树林里做着跳跃，其中一个做俯卧撑，而一个男人正在进行评论。
5F4jp64eh1w_000000_000010#zh#8 两个男孩在外面，他们正在做跳跃和俯卧撑。
5F4jp64eh1w_000000_000010#zh#9 一对男孩和女人在外面做跳跃和俯卧撑。
37k7DrOPzbw_000002_000012#zh#0 在一个宽敞明亮的室内，一个人正在练体操。
37k7DrOPzbw_000002_000012#zh#1 一个女子正在演示着双脚跳开、同时双手向上的健身动作。
37k7DrOPzbw_000002_000012#zh#2 一个健身女教练重复着一直同一个健身动作。
37k7DrOPzbw_000002_000012#zh#3 一个穿黑色衣服的外国女人原地在锻炼。
37k7DrOPzbw_000002_000012#zh#4 黑色上衣紫色裤子的女子在用力的向上弹跳。
37k7DrOPzbw_000002_000012#zh#5 一个女人正在一个木地板的房间里做跳跃跳动。
37k7DrOPzbw_000002_000012#zh#6 一个穿着紫色裤子的人正在地板上进行健身舞蹈。
37k7DrOPzbw_000002_000012#zh#7 在一个房间里, 一个年轻的女人正在做跳跃式的运动。
37k7DrOPzbw_000002_000012#zh#8 一个穿着黑色背心的女人正在房间里锻炼。
37k7DrOPzbw_000002_000012#zh#9 一个穿黑色衣服的女子正在做跳跃运动。
_HUQYqzmppk_000000_000010#zh#0 两个人正在室外的雪地上面对面跳舞。
_HUQYqzmppk_000000_000010#zh#1 两个人在满是雪的地方一起跳着舞蹈。
_HUQYqzmppk_000000_000010#zh#2 在一个阳光明媚的天气，两个人正在雪地玩着。
_HUQYqzmppk_000000_000010#zh#3 两个人在雪地上蹦跳着做着踢脚的游戏。
_HUQYqzmppk_000000_000010#zh#4 两个人经过商量后，步调一致的开始跳舞起来。
_HUQYqzmppk_000000_000010#zh#5 两个人在北京学覆盖的车道上做着各种舞蹈动作。
_HUQYqzmppk_000000_000010#zh#6 两个人在雪地上跟着音乐的节奏在跳着舞。
_HUQYqzmppk_000000_000010#zh#7 两个孩子在外面的雪中练习他们的舞蹈编排。
_HUQYqzmppk_000000_000010#zh#8 一个穿着蓝色衣服的女人正在雪地上跳舞。
_HUQYqzmppk_000000_000010#zh#9 两个人试图在雪地上编排舞蹈动作。
11DNgvKLRHM_000078_000088#zh#0 一个戴着眼镜、穿着灰色衣服的男人在唱歌。
11DNgvKLRHM_000078_000088#zh#1 一个中年大叔在家里面欢快的唱着英文歌曲。
11DNgvKLRHM_000078_000088#zh#2 戴眼镜穿这一身灰的人正拿着麦克风唱歌。
11DNgvKLRHM_000078_000088#zh#3 一个白头发白胡子的男子在拿着话筒唱歌。
11DNgvKLRHM_000078_000088#zh#4 室内有一个男人坐在沙发上面，并且手里拿着话筒嘴巴一张一合。
11DNgvKLRHM_000078_000088#zh#5 一个坐着的男人用麦克风唱一首歌，同时伴奏音乐在背景中播放。
11DNgvKLRHM_000078_000088#zh#6 一个穿着灰色衣服的男人拿着话筒坐在沙发上唱歌。
11DNgvKLRHM_000078_000088#zh#7 一名男子坐在沙发上面用麦克风唱歌。
11DNgvKLRHM_000078_000088#zh#8 一个男人独自坐着，手里拿着一个麦克风，他正在唱卡拉OK。
11DNgvKLRHM_000078_000088#zh#9 一个男子背靠沙发，拿着黑色的话筒说话。
Zjr3hHz4Q2M_000150_000160#zh#0 一个穿着灰色上衣的男子在房间里唱歌。
Zjr3hHz4Q2M_000150_000160#zh#1 房间内，一名穿灰色上衣的男人在唱歌，另一名穿黄色上衣的男人在拍照。
Zjr3hHz4Q2M_000150_000160#zh#2 一个人正在拿着话筒唱着歌，旁边有人在录像。
Zjr3hHz4Q2M_000150_000160#zh#3 一个穿着短袖的人，手上拿着话筒在唱歌。
Zjr3hHz4Q2M_000150_000160#zh#4 室内一个人拿着话筒站着。旁边坐着的一个人在拿手机拍照。
Zjr3hHz4Q2M_000150_000160#zh#5 一个矮个子和朋友正在卡拉OK里唱歌。
Zjr3hHz4Q2M_000150_000160#zh#6 一个男人正在一个房间里面唱歌，旁边的人则在为他录像。
Zjr3hHz4Q2M_000150_000160#zh#7 有一位男子正在唱歌，旁边还有一个人正在为他录视频，他的前面还有一位热心观众。
Zjr3hHz4Q2M_000150_000160#zh#8 一个穿着灰色上衣的男人在一个房间唱着歌。
Zjr3hHz4Q2M_000150_000160#zh#9 在室内，一个男子手上拿着话筒在唱歌，并且还有人在给他拍照。
Vli3ay79kJk_000000_000010#zh#0 一个男人在草地上向远处扔了一个物品。
Vli3ay79kJk_000000_000010#zh#1 一个正在室外对着保垒球打到了界外了。
Vli3ay79kJk_000000_000010#zh#2 在一个阳光明媚的天气，一个人在户外玩耍。
Vli3ay79kJk_000000_000010#zh#3 一个穿着深色衣服的人在绿色的草地上扔深色的东西。
Vli3ay79kJk_000000_000010#zh#4 阳光明媚的场地上，一个球从高空落下来。
Vli3ay79kJk_000000_000010#zh#5 一个人在足球场上用足球踢出一道射线。
Vli3ay79kJk_000000_000010#zh#6 人们在一个广阔的公园里踢足球，当球快速地越过柱子时，有人高喊触地得分。
Vli3ay79kJk_000000_000010#zh#7 一个球从远处丢过来进球后，一人在后边大喊大叫。
Vli3ay79kJk_000000_000010#zh#8 一个穿着黑色上衣的男孩把草地上的足球踢飞了。
Vli3ay79kJk_000000_000010#zh#9 在一片草地上，有一个人将球踢向空中。
q6dyWFq3-LE_000000_000010#zh#0 球场是场上一个穿黑色衣服的男子把球踢向了球门。
q6dyWFq3-LE_000000_000010#zh#1 一个男人踢橄榄球中了球门。
q6dyWFq3-LE_000000_000010#zh#2 一个穿着黑色上衣的人用脚把橄榄球踢向空中。
q6dyWFq3-LE_000000_000010#zh#3 一个穿黑衣服的男孩在球场上把一个棕色的橄榄球踢飞。
q6dyWFq3-LE_000000_000010#zh#4 一个人经助跑向远处大力踢出一个球。
q6dyWFq3-LE_000000_000010#zh#5 一个人在操场上把一个球踢进了球门。
q6dyWFq3-LE_000000_000010#zh#6 一个小男孩将一个固定着的球踢向球框。
q6dyWFq3-LE_000000_000010#zh#7 一个人把你个足球很远的踢进了一个球门。
q6dyWFq3-LE_000000_000010#zh#8 一名穿黑色衣服的年轻男子踢足球并得分容易地得分。
q6dyWFq3-LE_000000_000010#zh#9 一个小男孩正在田地里练习踢足球。
Y7CZDrJ6Jv4_000000_000010#zh#0 一个穿着蓝色上衣的男人在球场踢球。
Y7CZDrJ6Jv4_000000_000010#zh#1 一名男子在草地上练习踢橄榄球，橄榄球飞出场外。
Y7CZDrJ6Jv4_000000_000010#zh#2 一个男人将球踢到了远处，然后拿着三角支架跑到另一个球旁边。
Y7CZDrJ6Jv4_000000_000010#zh#3 一个穿着黑色衣服的男子在室外的草坪上，对着一个球踢向了远处。
Y7CZDrJ6Jv4_000000_000010#zh#4 一个人跑过去将地上的球踢飞出去。
Y7CZDrJ6Jv4_000000_000010#zh#5 一名男子在球场，将地上的球踢向远处。
Y7CZDrJ6Jv4_000000_000010#zh#6 一个男子一脚把球射向球门。
Y7CZDrJ6Jv4_000000_000010#zh#7 一名男子练习足球踢，足球通过球门柱。
Y7CZDrJ6Jv4_000000_000010#zh#8 一名十几岁的男孩跑着, 把一个足球踢到了半场的球门。
Y7CZDrJ6Jv4_000000_000010#zh#9 一名男子将球踢入球门然后开始向球门跑去。
pBy55jurdRw_000093_000103#zh#0 一个男人和一个女人正在一片宽阔的草坪上面踢球。
pBy55jurdRw_000093_000103#zh#1 一个女人把橄榄球放在橄榄球场的地上，一个男人助跑去踢飞橄榄球。
pBy55jurdRw_000093_000103#zh#2 一个穿着黑色上衣的人正在草坪上练习踢球。
pBy55jurdRw_000093_000103#zh#3 在草坪上，一个女人拿着一个橄榄球，放在地上，男人一脚把球踢飞。
pBy55jurdRw_000093_000103#zh#4 在一个宽阔的草坪，一个穿着黑色衣服的人正在踢球。
pBy55jurdRw_000093_000103#zh#5 一个人正在踢另外一个人手中的物品，并踢出。
pBy55jurdRw_000093_000103#zh#6 一个身穿蓝色衣服戴帽子的男人踢着女孩拿的球。
pBy55jurdRw_000093_000103#zh#7 一个女孩在地上举起一个足球，然后两一个男子把球踢进球门。
pBy55jurdRw_000093_000103#zh#8 一个穿着黑色衣服的男人正在室外踢球。
pBy55jurdRw_000093_000103#zh#9 在室外的草地上，一个人在足球场上打球。
19zOVnkSOeM_000000_000010#zh#0 一群人在踢球，随着音乐，有一个人踢中了球门，大家为他欢呼。
19zOVnkSOeM_000000_000010#zh#1 一群人在运动场上踢球，一个人将球击飞，球场上的人开始欢呼，运动场边还有很多人在观看。
19zOVnkSOeM_000000_000010#zh#2 在一场比赛中，黑色衣服的球员进球后欢呼起来，观众也为他们欢呼。
19zOVnkSOeM_000000_000010#zh#3 两只队伍正在进行橄榄球比赛，周围有很多人在观看。
19zOVnkSOeM_000000_000010#zh#4 一些人在操场上打蓝球，还有许多人在旁边观看。
19zOVnkSOeM_000000_000010#zh#5 有人在足球比赛中踢足球并射门得分。
19zOVnkSOeM_000000_000010#zh#6 一些橄榄球运动员正在赛场上激烈的进行着橄榄球比赛。
19zOVnkSOeM_000000_000010#zh#7 一些橄榄球运动员被安置在球场其中的一条线上，并在满是人的体育馆内踢球。
19zOVnkSOeM_000000_000010#zh#8 一个橄榄球员把一个球踢进了很远的地方。
19zOVnkSOeM_000000_000010#zh#9 足场上正在进行一场足球比赛，其中一名球员将球踢向远方。
L9xSjSgDamc_000000_000010#zh#0 一个身穿蓝色上衣穿着纸尿裤的小孩光着脚丫在房间里踢球。
L9xSjSgDamc_000000_000010#zh#1 一个穿着蓝色上衣的小男孩在地毯上踢足球，一个大人在旁边笑出了声。
L9xSjSgDamc_000000_000010#zh#2 一个小男孩在家踢足球，他没有穿裤子。
L9xSjSgDamc_000000_000010#zh#3 一个穿着深色上衣的小孩在深色的地毯上玩耍。
L9xSjSgDamc_000000_000010#zh#4 一个小孩站在房间里面踢球玩耍，旁边放着一个小汽车。
L9xSjSgDamc_000000_000010#zh#5 在一个房间里面，一个小男孩一脚踢飞了一个足球。
L9xSjSgDamc_000000_000010#zh#6 一个小孩子在跳和踢，而一个成年人笑着，想知道他在做什么。
L9xSjSgDamc_000000_000010#zh#7 一个穿着尿布的婴儿跳到地板上开始踢球。
L9xSjSgDamc_000000_000010#zh#8 一个小男婴在地毯上踢了一下足球。
L9xSjSgDamc_000000_000010#zh#9 一个孩子踢足球, 踢到了房间里的东西。
_UoN-y6SzjI_000004_000014#zh#0 一个小女孩在草地上踢着足球跑着玩。
_UoN-y6SzjI_000004_000014#zh#1 一个小女孩在草坪上开心地踢着足球。
_UoN-y6SzjI_000004_000014#zh#2 一个穿着粉色上衣的小女孩在草地上踢足球。
_UoN-y6SzjI_000004_000014#zh#3 一个女人和一个小女孩正在一片草坪上踢球。
_UoN-y6SzjI_000004_000014#zh#4 一个穿着深色衣服的人正在踢着球。
_UoN-y6SzjI_000004_000014#zh#5 一个小孩子在外面一个开放的空地上踢着足球。
_UoN-y6SzjI_000004_000014#zh#6 一个女人在和一个女孩草坪上玩着球。
_UoN-y6SzjI_000004_000014#zh#7 一个女人在玩足球的时候和一个女孩说话。
_UoN-y6SzjI_000004_000014#zh#8 一个小女孩和一个大人在草地上玩球。
_UoN-y6SzjI_000004_000014#zh#9 一个小女孩正在和一个人在草地上踢皮球。
e47kpEV6afo_000000_000010#zh#0 在一个房间里，一群人围着两个穿黑色衣服的女人，两个女人在激情的亲吻。
e47kpEV6afo_000000_000010#zh#1 有两个女人在接吻，一个男人在录像，旁边还有几个人坐在那里看。
e47kpEV6afo_000000_000010#zh#2 两个穿吊带的女人在接吻，一个男人在拍照。
e47kpEV6afo_000000_000010#zh#3 一个房间里，一群人正在看着两个女人的亲昵。
e47kpEV6afo_000000_000010#zh#4 一个穿着格子短袖的男子正拿着相机给两个女孩子拍照片。
e47kpEV6afo_000000_000010#zh#5 两个女人面对面接吻, 而背景中的人则在拍摄。
e47kpEV6afo_000000_000010#zh#6 一个女子坐在沙发上，另一个女子坐在她的腿上，两个人开始接吻，旁边有人在看。
e47kpEV6afo_000000_000010#zh#7 有两个女子正在亲吻，有一个人正在拍摄她们，周围有很多人正在看着她们。
e47kpEV6afo_000000_000010#zh#8 两个穿黑色背心的女子面对面坐在沙发上互相亲吻。
e47kpEV6afo_000000_000010#zh#9 两个女孩坐在沙发上接吻, 而其他人在看着她们。
jiZgpSw9cKQ_000035_000045#zh#0 两个女人正在亲密地接吻，分开后两人深情对视。
jiZgpSw9cKQ_000035_000045#zh#1 两个女人在嘴对嘴亲吻，其中一个还用手抚摸着对方的脸。
jiZgpSw9cKQ_000035_000045#zh#2 户外两个长发女人正在进行激烈的接吻。
jiZgpSw9cKQ_000035_000045#zh#3 两个年轻漂亮的女人正在深情地接吻。
jiZgpSw9cKQ_000035_000045#zh#4 在一个晴朗的天气，有一个女人和另外一个女人正在接吻。
jiZgpSw9cKQ_000035_000045#zh#5 一个金发女孩和一个褐色头发的女孩接吻而黑发女孩则抚摸金发美女孩的脸。
jiZgpSw9cKQ_000035_000045#zh#6 两个女人正在不停的亲吻着对方的嘴唇。
jiZgpSw9cKQ_000035_000045#zh#7 两个长发女孩正在嘴对着嘴互相亲吻。
jiZgpSw9cKQ_000035_000045#zh#8 两个长头发的女人正在温柔地亲吻对方。
jiZgpSw9cKQ_000035_000045#zh#9 两个年轻女性热情地互相亲吻，因为一个人接触了另一个脸颊。
WEcPPLZ3-JA_000114_000124#zh#0 在一个房间里有一个穿着蓝色衣服的人正在和别人亲嘴。
WEcPPLZ3-JA_000114_000124#zh#1 一个女人先是张着嘴，后面和另一个女孩亲在了一起，晃动着身体。
WEcPPLZ3-JA_000114_000124#zh#2 yige一个穿着蓝色衣服的女人在亲吻另一个女人。
WEcPPLZ3-JA_000114_000124#zh#3 有一个穿着深色衣服的人在亲吻另一个人。
WEcPPLZ3-JA_000114_000124#zh#4 两个扎着丸子头的女孩子正在屋子里接吻。
WEcPPLZ3-JA_000114_000124#zh#5 两个女人接吻的场景和图片拼贴在一起。
WEcPPLZ3-JA_000114_000124#zh#6 一些女孩正在展示着他们自己，并和另一个女孩接吻。
WEcPPLZ3-JA_000114_000124#zh#7 两个女性正在镜头接吻并做好了准备。
WEcPPLZ3-JA_000114_000124#zh#8 一个穿着蓝色衣服的女孩在做鬼脸，然后亲吻其他女孩，然后他们跳起舞来。
WEcPPLZ3-JA_000114_000124#zh#9 一个女人张着嘴露着牙齿，另外两个人在接吻，并展示了身材和各种造型。
kGWKUPfsBuY_000088_000098#zh#0 一男子在海上试玩着飞天伞，一直飞不上去。
kGWKUPfsBuY_000088_000098#zh#1 海面上，一名身穿水上滑行装备的人正在水上滑行。
kGWKUPfsBuY_000088_000098#zh#2 一个穿着黑色紧身衣的男人在海上冲浪。
kGWKUPfsBuY_000088_000098#zh#3 一个踩着滑板手里拉着降落伞的人在海里冲浪。
kGWKUPfsBuY_000088_000098#zh#4 一个穿着黑色上衣的人正在借助降落伞的力量跳高。
kGWKUPfsBuY_000088_000098#zh#5 一个人用滑水装备正在宽阔的海平面上冲浪。
kGWKUPfsBuY_000088_000098#zh#6 一个人在海上玩着冲浪风筝，并在空中滑行。
kGWKUPfsBuY_000088_000098#zh#7 一名男子一边冲浪一边拿着降落伞，把自己从水中拉了下来。
kGWKUPfsBuY_000088_000098#zh#8 一个男人在水中冲浪，然后在空中停留了一秒钟。
kGWKUPfsBuY_000088_000098#zh#9 在室外的海面上，一个男子正在海面上冲浪。
fzuw0Wp6dF8_000003_000013#zh#0 一个人拿着滑板从海浪中滑了起来，又跳跃下去。
fzuw0Wp6dF8_000003_000013#zh#1 一个人正在做着很刺激的项目——海上冲浪。
fzuw0Wp6dF8_000003_000013#zh#2 一个男人滑着滑板在大海里开心的玩耍。
fzuw0Wp6dF8_000003_000013#zh#3 在一片海面上，一个女人正在用滑板冲浪。
fzuw0Wp6dF8_000003_000013#zh#4 一名冲浪者拉着一条绳子飞出海平面抓住冲浪板后安全下落。
fzuw0Wp6dF8_000003_000013#zh#5 一个男人在海面上拉着飞行器在水面滑行，然后飞了起来又落到了水面上。
fzuw0Wp6dF8_000003_000013#zh#6 一个男子手拉机翼在海中冲浪，机翼把他带飞起来了。
fzuw0Wp6dF8_000003_000013#zh#7 一个男人正在与人们在小冲浪板和降落伞跳跃冲浪。
fzuw0Wp6dF8_000003_000013#zh#8 一名男子利用风帆，站在冲浪板在海面上冲浪。
fzuw0Wp6dF8_000003_000013#zh#9 一个人正在冲浪，在水里一跃而起，飞向天空。
t-COcCPV-T4_000020_000030#zh#0 一名女子正在边针织衣服，边向我们介绍。
t-COcCPV-T4_000020_000030#zh#1 一个女人在展示用棒针勾线的技巧。
t-COcCPV-T4_000020_000030#zh#2 一个人将铅笔状的东西穿过黑色的网并解说着。
t-COcCPV-T4_000020_000030#zh#3 一个人拿着一根红色的针正在织东西。
t-COcCPV-T4_000020_000030#zh#4 明亮的房间内，一只手正在触摸一个黑色的物品。
t-COcCPV-T4_000020_000030#zh#5 一个女人从一个工件上拿起一些线圈，把它们放在一根大针织针上。
t-COcCPV-T4_000020_000030#zh#6 一个孩子一边在做钩针,一边在解释它如何制作。
t-COcCPV-T4_000020_000030#zh#7 一个年轻的女孩一边展示自己的编织技术一边说着鼓楼自己的话。
t-COcCPV-T4_000020_000030#zh#8 一个人用红色的针穿着一件黑色的针织物。
t-COcCPV-T4_000020_000030#zh#9 一个人拿着一个编织针在一个编织物上编织。
G-L0hmjWScI_000000_000010#zh#0 一个人拿着一个未完成的针织品在针织。
G-L0hmjWScI_000000_000010#zh#1 一名外国人正在拿着一股蓝绿色的毛线织。
